"GENEID","DISORDER","mean_log2FC","min_p","combined_p","Direction"
"ENSG00000004776","BD",-0.1428376,0.0489159,0.0489159,"DOWN"
"ENSG00000004776","MDD",-0.752337574,0.000961192,0.000961192,"DOWN"
"ENSG00000004777","ADHD",-0.0718991,0.01353943,0.01353943,"DOWN"
"ENSG00000004777","MDD",-0.322327750666667,0.0112636,0.0112636,"DOWN"
"ENSG00000004777","OCD",-0.463395102,0.000446854,0.000446854,"DOWN"
"ENSG00000004799","ADHD",0.29253204,0.00394781,0.00394781,"UP"
"ENSG00000004848","ASD",-0.34,0.00758,0.00758,"DOWN"
"ENSG00000004864","BD",-0.19539,0.0442,0.0442,"DOWN"
"ENSG00000004866","MDD",-0.190542957,0.007404123,0.007404123,"DOWN"
"ENSG00000004866","OCD",0.225,0.002523951,0.002523951,"UP"
"ENSG00000004948","MDD",0.804994374666667,0.014092151,0.014092151,"UP"
"ENSG00000004948","SZ",-0.18536709,0.017178739,0.017178739,"DOWN"
"ENSG00000004961","MDD",-0.142906533,0.018639143,0.018639143,"DOWN"
"ENSG00000004975","MDD",0.223981739,0.037126551,0.037126551,"UP"
"ENSG00000005007","ASD",0.13142981,0.00104714,0.00104714,"UP"
"ENSG00000005007","BD",0.1783866,7.26e-08,7.26e-08,"UP"
"ENSG00000005020","MDD",0.1924635414,0.007629773,0.007629773,"UP"
"ENSG00000005020","SZ",0.4291951,0.01096561,0.01096561,"UP"
"ENSG00000005059","BD",0.14853198,0.00756883,0.00756883,"UP"
"ENSG00000005059","OCD",0.97625491,5.53e-05,5.53e-05,"UP"
"ENSG00000005059","SZ",0.11653084,0.046425202,0.046425202,"UP"
"ENSG00000005073","ADHD",-0.0733014,0.00344574,0.00344574,"DOWN"
"ENSG00000005075","MDD",0.20816549,0.032860754,0.032860754,"UP"
"ENSG00000005075","OCD",0.389,0.002653574,0.002653574,"UP"
"ENSG00000005108","MDD",0.363981885,0.008441058,0.008441058,"UP"
"ENSG00000005108","OCD",-0.623,0.000665893,0.000665893,"DOWN"
"ENSG00000005156","BD",0.08038387,0.00257437,0.00257437,"UP"
"ENSG00000005187","MDD",-0.696132738,0.030716469,0.030716469,"DOWN"
"ENSG00000005189","BD",0.1152301,0.04092138,0.04092138,"UP"
"ENSG00000005194","ADHD",0.06203115,0.02400905,0.02400905,"UP"
"ENSG00000005194","MDD",0.161426661,0.037783467,0.037783467,"UP"
"ENSG00000005206","ASD",-0.1936821,3.05e-05,3.05e-05,"DOWN"
"ENSG00000005206","SZ",-0.120019661,0.026627514,0.026627514,"DOWN"
"ENSG00000005249","ASD",-0.1247673,0.00055438,0.00055438,"DOWN"
"ENSG00000005249","MDD",-0.157849603,0.040994079,0.040994079,"DOWN"
"ENSG00000005249","OCD",-0.800946294,0.005559,0.005559,"DOWN"
"ENSG00000005302","MDD",0.111198233,0.031364969,0.031364969,"UP"
"ENSG00000005339","ADHD",-0.0526717,0.0008059,0.0008059,"DOWN"
"ENSG00000005339","MDD",-0.220198572,0.010696911,0.010696911,"DOWN"
"ENSG00000005379","MDD",0.219145683666667,0.013345542,0.013345542,"UP"
"ENSG00000005381","MDD",0.665580739,0.017046232,0.017046232,"UP"
"ENSG00000005381","OCD",-1.5335,0.005313,0.005313,"DOWN"
"ENSG00000005421","MDD",1.047203606,0.004578972,0.004578972,"UP"
"ENSG00000005448","ADHD",-0.065736,0.01892196,0.01892196,"DOWN"
"ENSG00000005448","ASD",-0.1761328,0.00067205,0.00067205,"DOWN"
"ENSG00000005469","MDD",0.192735335,0.024367,0.024367,"UP"
"ENSG00000005486","ASD",0.24,0.00148,0.00148,"UP"
"ENSG00000005513","ASD",0.23,0.00326,0.00326,"UP"
"ENSG00000005700","BD",0.1135668,5.4e-05,5.4e-05,"UP"
"ENSG00000005700","MDD",0.150416261,0.011631085,0.011631085,"UP"
"ENSG00000005810","SZ",0.3666827,0.02869215,0.02869215,"UP"
"ENSG00000005812","MDD",0.229127694,0.002368932,0.002368932,"UP"
"ENSG00000005844","BD",0.0879281,0.02534988,0.02534988,"UP"
"ENSG00000005844","MDD",0.632578315,0.03865153,0.03865153,"UP"
"ENSG00000005844","OCD",1.385175224,8.54e-05,8.54e-05,"UP"
"ENSG00000005844","SZ",-0.265607948,0.001791651,0.001791651,"DOWN"
"ENSG00000005882","MDD",0.171799017,0.035904192,0.035904192,"UP"
"ENSG00000005884","ADHD",-0.0583943,0.04616222,0.04616222,"DOWN"
"ENSG00000005884","MDD",-0.234533022,0.004114677,0.004114677,"DOWN"
"ENSG00000005889","MDD",-0.184663563,0.009459395,0.009459395,"DOWN"
"ENSG00000005893","MDD",0.333966938,0.030565989,0.030565989,"UP"
"ENSG00000005961","BD",0.60792405,6.22e-06,6.22e-06,"UP"
"ENSG00000005961","MDD",0.504160952,0.042171995,0.042171995,"UP"
"ENSG00000005981","MDD",0.733930876333333,0.001065553,0.001065553,"UP"
"ENSG00000006007","MDD",0.13507781,0.038865065,0.038865065,"UP"
"ENSG00000006015","ASD",-0.15,0.00848,0.00848,"DOWN"
"ENSG00000006015","MDD",0.267021973,1.43341e-05,1.43341e-05,"UP"
"ENSG00000006016","BD",-0.48538,0.00363,0.00363,"DOWN"
"ENSG00000006016","OCD",2.298239596,5.6e-07,5.6e-07,"UP"
"ENSG00000006025","MDD",0.233847328,0.047637003,0.047637003,"UP"
"ENSG00000006042","MDD",0.677450237,0.009183869,0.009183869,"UP"
"ENSG00000006042","OCD",-0.559748232,0.005304629,0.005304629,"DOWN"
"ENSG00000006047","MDD",0.677781327,0.006479229,0.006479229,"UP"
"ENSG00000006062","BD",0.11142294,0.03093488,0.03093488,"UP"
"ENSG00000006062","MDD",-0.312246895,0.049625299,0.049625299,"DOWN"
"ENSG00000006071","MDD",0.12593285,0.03498175,0.03498175,"UP"
"ENSG00000006114","MDD",0.143146455,0.033733164,0.033733164,"UP"
"ENSG00000006116","ASD",0.29,0.00212,0.00212,"UP"
"ENSG00000006116","OCD",-0.51108393,5.03e-05,5.03e-05,"DOWN"
"ENSG00000006118","MDD",0.222252887,0.021896527,0.021896527,"UP"
"ENSG00000006128","BD",-0.33071,0.0413,0.0413,"DOWN"
"ENSG00000006128","MDD",-0.188583,0.02742559,0.02742559,"DOWN"
"ENSG00000006128","SZ",-0.165957309,0.048841188,0.048841188,"DOWN"
"ENSG00000006194","BD",0.11069975,0.03151772,0.03151772,"UP"
"ENSG00000006210","MDD",-0.314028246,0.022245596,0.022245596,"DOWN"
"ENSG00000006282","MDD",0.2556257135,0.010686656,0.010686656,"UP"
"ENSG00000006283","MDD",-0.271905731,0.037660558,0.037660558,"DOWN"
"ENSG00000006283","SZ",-0.176112873,0.01711004,0.01711004,"DOWN"
"ENSG00000006327","ASD",0.72227545,0.0011835,0.0011835,"UP"
"ENSG00000006327","SZ",-0.536090007,2.78e-07,2.78e-07,"DOWN"
"ENSG00000006377","MDD",-0.4533897665,0.02014564,0.02014564,"DOWN"
"ENSG00000006377","OCD",-0.493041192,0.000592894,0.000592894,"DOWN"
"ENSG00000006432","ASD",0.33,0.00733,0.00733,"UP"
"ENSG00000006432","OCD",-0.862037018,0.002151,0.002151,"DOWN"
"ENSG00000006451","MDD",-0.178618333,0.004449598,0.004449598,"DOWN"
"ENSG00000006453","MDD",0.651193572,0.015488239,0.015488239,"UP"
"ENSG00000006468","BD",-0.33846,0.0132,0.0132,"DOWN"
"ENSG00000006468","OCD",-0.5254963765,0.000576835,0.000576835,"DOWN"
"ENSG00000006576","BD",0.2263863,8.44e-07,8.44e-07,"UP"
"ENSG00000006607","MDD",-0.203858686,0.029323051,0.029323051,"DOWN"
"ENSG00000006611","MDD",1.126880716,0.031279238,0.031279238,"UP"
"ENSG00000006625","ASD",0.4,0.00695,0.00695,"UP"
"ENSG00000006634","MDD",-0.237589507,0.027846324,0.027846324,"DOWN"
"ENSG00000006652","BD",-0.1431739,0.01173733,0.01173733,"DOWN"
"ENSG00000006652","MDD",-0.237694767714286,0.005809309,0.005809309,"DOWN"
"ENSG00000006704","BD",0.1617668,9.12e-07,9.12e-07,"UP"
"ENSG00000006704","MDD",0.21906489,0.036537339,0.036537339,"UP"
"ENSG00000006712","ADHD",-0.0807127,0.00010178,0.00010178,"DOWN"
"ENSG00000006712","MDD",0.136714241,0.046950399,0.046950399,"UP"
"ENSG00000006715","MDD",-0.122662437,0.037518418,0.037518418,"DOWN"
"ENSG00000006740","ASD",-0.1131206,0.00080946,0.00080946,"DOWN"
"ENSG00000006744","MDD",0.139638055,0.046911379,0.046911379,"UP"
"ENSG00000006747","OCD",-1.471,0.000590477,0.000590477,"DOWN"
"ENSG00000006756","OCD",0.483,0.002891062,0.002891062,"UP"
"ENSG00000006788","MDD",1.533803356,0.004627013,0.004627013,"UP"
"ENSG00000006831","MDD",0.304792867,0.044866867,0.044866867,"UP"
"ENSG00000006837","MDD",0.196389658666667,0.005869911,0.005869911,"UP"
"ENSG00000007047","ASD",0.27,9e-04,9e-04,"UP"
"ENSG00000007047","MDD",-0.253637285,0.017085231,0.017085231,"DOWN"
"ENSG00000007062","MDD",-0.428786678,0.030778158,0.030778158,"DOWN"
"ENSG00000007080","MDD",0.0694958764,9.17799e-07,9.17799e-07,"UP"
"ENSG00000007080","SZ",-0.102003438,0.026810215,0.026810215,"DOWN"
"ENSG00000007129","MDD",1.2163025355,0.01347389,0.01347389,"UP"
"ENSG00000007168","OCD",-0.392,0.002091081,0.002091081,"DOWN"
"ENSG00000007171","ASD",-0.4430243,3.49e-08,3.49e-08,"DOWN"
"ENSG00000007174","MDD",0.500076124,0.042633667,0.042633667,"UP"
"ENSG00000007202","ADHD",-0.0305253,0.04746643,0.04746643,"DOWN"
"ENSG00000007237","OCD",-0.612,0.00125779,0.00125779,"DOWN"
"ENSG00000007255","MDD",0.33841363,0.040704859,0.040704859,"UP"
"ENSG00000007264","ADHD",-0.0955022,0.02692504,0.02692504,"DOWN"
"ENSG00000007264","MDD",0.351313708,0.004646338,0.004646338,"UP"
"ENSG00000007264","OCD",-0.518064376,0.000355854,0.000355854,"DOWN"
"ENSG00000007384","MDD",0.33595037,0.02649573,0.02649573,"UP"
"ENSG00000007384","OCD",0.461,0.001266158,0.001266158,"UP"
"ENSG00000007384","SZ",-0.527568,0.00327868,0.00327868,"DOWN"
"ENSG00000007392","MDD",0.0856117,0.02742706,0.02742706,"UP"
"ENSG00000007402","ASD",-0.145754,0.00169596,0.00169596,"DOWN"
"ENSG00000007402","MDD",-0.3986195235,0.00920939,0.00920939,"DOWN"
"ENSG00000007402","SZ",-0.264117118,0.000835717,0.000835717,"DOWN"
"ENSG00000007520","BD",-0.0729349,0.04048069,0.04048069,"DOWN"
"ENSG00000007520","MDD",0.084220025,0.003036394,0.003036394,"UP"
"ENSG00000007866","OCD",1.092,2.1985e-05,2.1985e-05,"UP"
"ENSG00000007866","SZ",0.178171333,0.030950735,0.030950735,"UP"
"ENSG00000007908","BD",-0.04034,0.03165852,0.03165852,"DOWN"
"ENSG00000007923","MDD",0.104745998,0.023691798,0.023691798,"UP"
"ENSG00000007944","ADHD",-0.1193954,0.00046847,0.00046847,"DOWN"
"ENSG00000007944","BD",-0.133823,0.0003387,0.0003387,"DOWN"
"ENSG00000007944","MDD",-0.267294995333333,0.008278363,0.008278363,"DOWN"
"ENSG00000008018","MDD",0.175911134,0.021180368,0.021180368,"UP"
"ENSG00000008056","MDD",-0.319283141,0.041964363,0.041964363,"DOWN"
"ENSG00000008083","MDD",0.0837852,0.03625597,0.03625597,"UP"
"ENSG00000008086","OCD",-0.831,8.6571e-05,8.6571e-05,"DOWN"
"ENSG00000008128","ADHD",-0.0997719,0.01624906,0.01624906,"DOWN"
"ENSG00000008197","MDD",-0.621528571,0.041616229,0.041616229,"DOWN"
"ENSG00000008226","MDD",0.407468617,0.020343995,0.020343995,"UP"
"ENSG00000008256","ADHD",-0.0842572,0.01354696,0.01354696,"DOWN"
"ENSG00000008256","ASD",-0.3,0.00531,0.00531,"DOWN"
"ENSG00000008277","ASD",-0.1034555,0.00186656,0.00186656,"DOWN"
"ENSG00000008282","MDD",0.0666355593333333,0.019061512,0.019061512,"UP"
"ENSG00000008324","MDD",0.174824636,0.027704841,0.027704841,"UP"
"ENSG00000008382","BD",-0.1633598,6.38e-05,6.38e-05,"DOWN"
"ENSG00000008382","MDD",0.299876299,0.000467658,0.000467658,"UP"
"ENSG00000008394","ASD",0.48578921,1.56e-05,1.56e-05,"UP"
"ENSG00000008394","MDD",0.389906824,0.02502957,0.02502957,"UP"
"ENSG00000008394","OCD",0.664242895,0.001658523,0.001658523,"UP"
"ENSG00000008405","ADHD",-0.0588601,0.03822982,0.03822982,"DOWN"
"ENSG00000008405","MDD",-0.2927097425,0.001297082,0.001297082,"DOWN"
"ENSG00000008441","MDD",-0.236042911,0.028966723,0.028966723,"DOWN"
"ENSG00000008513","BD",0.27919,0.0411,0.0411,"UP"
"ENSG00000008513","MDD",-0.168060177,0.029507844,0.029507844,"DOWN"
"ENSG00000008513","OCD",0.4481291035,0.002285549,0.002285549,"UP"
"ENSG00000008517","MDD",1.019985245,0.006278171,0.006278171,"UP"
"ENSG00000008517","SZ",-0.8088035,0.0003806,0.0003806,"DOWN"
"ENSG00000008710","ADHD",-0.0724849,0.00493091,0.00493091,"DOWN"
"ENSG00000008710","MDD",0.37404595,0.003718103,0.003718103,"UP"
"ENSG00000008735","MDD",0.192271984333333,0.001665484,0.001665484,"UP"
"ENSG00000008838","ADHD",-0.0483443,0.00374183,0.00374183,"DOWN"
"ENSG00000008838","MDD",0.1764758675,0.002043541,0.002043541,"UP"
"ENSG00000008853","ASD",-0.151309685714286,0.0002233,0.0002233,"DOWN"
"ENSG00000008853","BD",-0.1612339,2.04e-05,2.04e-05,"DOWN"
"ENSG00000008853","MDD",0.368658371,0.008922098,0.008922098,"UP"
"ENSG00000008869","MDD",-0.0570333,0.0262038,0.0262038,"DOWN"
