"GENEID","DISORDER","mean_log2FC","min_p","combined_p","Direction"
"ENSG00000126733","MDD",-0.275281678,0.026663275,0.026663275,"DOWN"
"ENSG00000126733","OCD",-1.152975074,0.001703,0.001703,"DOWN"
"ENSG00000126749","ASD",0.58,0.00289,0.00289,"UP"
"ENSG00000126749","MDD",0.170107955,0.032929294,0.032929294,"UP"
"ENSG00000126756","MDD",0.189650603,0.019338619,0.019338619,"UP"
"ENSG00000126759","MDD",-0.253528282,0.019344188,0.019344188,"DOWN"
"ENSG00000126767","ASD",0.29370967,0.0002588,0.0002588,"UP"
"ENSG00000126767","BD",0.2091962,7.72e-07,7.72e-07,"UP"
"ENSG00000126767","MDD",0.317606466,0.015179966,0.015179966,"UP"
"ENSG00000126768","MDD",0.318440963,0.009118044,0.009118044,"UP"
"ENSG00000126775","MDD",0.125342804,0.046319638,0.046319638,"UP"
"ENSG00000126777","MDD",-0.1944342555,0.010049147,0.010049147,"DOWN"
"ENSG00000126787","OCD",3.54082374,0.003971066,0.003971066,"UP"
"ENSG00000126803","MDD",0.52484413,0.041964882,0.041964882,"UP"
"ENSG00000126804","ADHD",-0.0782806,0.00233138,0.00233138,"DOWN"
"ENSG00000126804","MDD",-0.228943548,0.007281725,0.007281725,"DOWN"
"ENSG00000126821","MDD",0.1186312284,0.005003733,0.005003733,"UP"
"ENSG00000126822","ASD",-0.2658176,0.00242145,0.00242145,"DOWN"
"ENSG00000126822","MDD",0.63381098,0.010369349,0.010369349,"UP"
"ENSG00000126822","OCD",-0.529513747,0.00437357,0.00437357,"DOWN"
"ENSG00000126858","MDD",0.173442249,0.002279864,0.002279864,"UP"
"ENSG00000126860","MDD",0.922423347,0.024591724,0.024591724,"UP"
"ENSG00000126861","MDD",0.288329955666667,0.002655239,0.002655239,"UP"
"ENSG00000126870","MDD",-0.105070891333333,0.013357019,0.013357019,"DOWN"
"ENSG00000126882","BD",-0.16729125,7.39e-05,7.39e-05,"DOWN"
"ENSG00000126882","MDD",0.296763149,0.036838784,0.036838784,"UP"
"ENSG00000126882","SZ",-0.162402794,0.00208,0.00208,"DOWN"
"ENSG00000126883","MDD",-0.176504245,0.022579629,0.022579629,"DOWN"
"ENSG00000126934","MDD",0.150047984,0.019724507,0.019724507,"UP"
"ENSG00000126934","SZ",-0.3129223,0.0114612,0.0114612,"DOWN"
"ENSG00000126950","OCD",-0.90036541,0.009073,0.009073,"DOWN"
"ENSG00000126970","BD",-0.16034,0.031,0.031,"DOWN"
"ENSG00000127022","MDD",0.1531617395,0.01451807,0.01451807,"UP"
"ENSG00000127054","ADHD",-0.0582267,0.00625009,0.00625009,"DOWN"
"ENSG00000127054","MDD",0.214077856,0.026967567,0.026967567,"UP"
"ENSG00000127080","BD",0.14516,0.0482,0.0482,"UP"
"ENSG00000127080","MDD",-0.120328803,0.021612048,0.021612048,"DOWN"
"ENSG00000127084","ADHD",-0.0620556,0.0015997,0.0015997,"DOWN"
"ENSG00000127084","MDD",0.345286995333333,0.011945044,0.011945044,"UP"
"ENSG00000127084","SZ",-0.150032864,0.035481594,0.035481594,"DOWN"
"ENSG00000127124","MDD",-0.389444161,0.002627787,0.002627787,"DOWN"
"ENSG00000127125","MDD",0.191127592,0.03446714,0.03446714,"UP"
"ENSG00000127152","MDD",-0.3887464045,0.012361186,0.012361186,"DOWN"
"ENSG00000127184","MDD",0.242243804,0.018789888,0.018789888,"UP"
"ENSG00000127184","OCD",0.631620933,2.37e-05,2.37e-05,"UP"
"ENSG00000127191","BD",-0.6307847,0.0001193,0.0001193,"DOWN"
"ENSG00000127191","SZ",-0.5324451,0.00226365,0.00226365,"DOWN"
"ENSG00000127220","MDD",0.553425569,0.000329516,0.000329516,"UP"
"ENSG00000127220","OCD",-0.453085454,0.006644821,0.006644821,"DOWN"
"ENSG00000127241","BD",-0.32668,0.0311,0.0311,"DOWN"
"ENSG00000127241","MDD",0.467680024,0.032112271,0.032112271,"UP"
"ENSG00000127241","OCD",0.749,0.001115722,0.001115722,"UP"
"ENSG00000127311","BD",0.3136,0.0142,0.0142,"UP"
"ENSG00000127311","MDD",0.3443067065,0.02618365,0.02618365,"UP"
"ENSG00000127314","ASD",0.16309612,1.49e-05,1.49e-05,"UP"
"ENSG00000127314","MDD",-0.16720133,0.032497644,0.032497644,"DOWN"
"ENSG00000127324","MDD",1.06002767666667,0.001756774,0.001756774,"UP"
"ENSG00000127325","MDD",-0.538406522,0.016523519,0.016523519,"DOWN"
"ENSG00000127329","BD",-0.1497763,0.00814056,0.00814056,"DOWN"
"ENSG00000127329","MDD",0.337717420666667,0.013512466,0.013512466,"UP"
"ENSG00000127334","ADHD",-0.0504486,0.03463205,0.03463205,"DOWN"
"ENSG00000127334","BD",-0.12647,1.69e-05,1.69e-05,"DOWN"
"ENSG00000127334","MDD",-0.2009814535,0.018051002,0.018051002,"DOWN"
"ENSG00000127337","ASD",-0.1833982,0.00030027,0.00030027,"DOWN"
"ENSG00000127364","MDD",-0.274666363,0.0438212,0.0438212,"DOWN"
"ENSG00000127399","ASD",0.23693084,0.00216481,0.00216481,"UP"
"ENSG00000127415","MDD",0.12111768,0.00335816,0.00335816,"UP"
"ENSG00000127418","MDD",-0.546250799,0.006518806,0.006518806,"DOWN"
"ENSG00000127419","ASD",-0.24,0.00731,0.00731,"DOWN"
"ENSG00000127419","MDD",0.18736772,0.002199186,0.002199186,"UP"
"ENSG00000127445","MDD",0.2154885185,0.001866494,0.001866494,"UP"
"ENSG00000127452","MDD",0.0388590655,0.005859938,0.005859938,"UP"
"ENSG00000127452","OCD",0.452,0.000702457,0.000702457,"UP"
"ENSG00000127472","MDD",-0.73253548,0.011074575,0.011074575,"DOWN"
"ENSG00000127472","SZ",-0.4338715,0.02140635,0.02140635,"DOWN"
"ENSG00000127483","BD",0.16238,0.0354,0.0354,"UP"
"ENSG00000127507","MDD",0.495607161,0.009930264,0.009930264,"UP"
"ENSG00000127511","BD",0.07191731,0.04450168,0.04450168,"UP"
"ENSG00000127511","MDD",0.156106256,0.043707986,0.043707986,"UP"
"ENSG00000127527","MDD",-0.303011582,0.034062507,0.034062507,"DOWN"
"ENSG00000127527","OCD",0.2,0.001660765,0.001660765,"UP"
"ENSG00000127528","BD",-0.2763888,0.00014668,0.00014668,"DOWN"
"ENSG00000127528","MDD",-0.7107480948,0.001068659,0.001068659,"DOWN"
"ENSG00000127528","SZ",-0.172126262,0.043383304,0.043383304,"DOWN"
"ENSG00000127540","MDD",0.2231213965,0.016661899,0.016661899,"UP"
"ENSG00000127554","MDD",0.1980642855,0.020799054,0.020799054,"UP"
"ENSG00000127578","BD",0.37593,0.0216,0.0216,"UP"
"ENSG00000127578","MDD",0.19923689,0.02110212,0.02110212,"UP"
"ENSG00000127580","MDD",0.265985117,0.0185328,0.0185328,"UP"
"ENSG00000127585","MDD",-0.4309185775,0.007541874,0.007541874,"DOWN"
"ENSG00000127585","OCD",-0.6203093565,1.4e-05,1.4e-05,"DOWN"
"ENSG00000127586","BD",0.1424605,5.99e-05,5.99e-05,"UP"
"ENSG00000127586","MDD",0.264779298,0.040435497,0.040435497,"UP"
"ENSG00000127588","MDD",-0.847936713,0.033037595,0.033037595,"DOWN"
"ENSG00000127589","MDD",0.43712067,0.049929382,0.049929382,"UP"
"ENSG00000127603","MDD",-0.19183055,0.04437868,0.04437868,"DOWN"
"ENSG00000127616","MDD",-0.233684062,0.016271123,0.016271123,"DOWN"
"ENSG00000127663","BD",0.07042467,0.03498005,0.03498005,"UP"
"ENSG00000127663","MDD",0.08315694,0.0187482,0.0187482,"UP"
"ENSG00000127774","MDD",0.046016195,0.003097882,0.003097882,"UP"
"ENSG00000127824","ADHD",0.13280147,0.00138971,0.00138971,"UP"
"ENSG00000127824","ASD",-0.1996763,0.00072065,0.00072065,"DOWN"
"ENSG00000127824","MDD",0.425898855,0.015294568,0.015294568,"UP"
"ENSG00000127831","MDD",1.078436648,0.025630366,0.025630366,"UP"
"ENSG00000127837","MDD",0.140953972,0.01834207,0.01834207,"UP"
"ENSG00000127838","BD",-0.1490446,0.00557974,0.00557974,"DOWN"
"ENSG00000127838","MDD",0.227072756,0.012546383,0.012546383,"UP"
"ENSG00000127870","ASD",0.44,0.00927,0.00927,"UP"
"ENSG00000127870","OCD",-0.455,3.402e-05,3.402e-05,"DOWN"
"ENSG00000127884","BD",-0.15909,0.0472,0.0472,"DOWN"
"ENSG00000127884","MDD",0.169238252,0.026154772,0.026154772,"UP"
"ENSG00000127903","MDD",0.253563807,0.017673389,0.017673389,"UP"
"ENSG00000127914","ADHD",-0.0418629,0.0330726,0.0330726,"DOWN"
"ENSG00000127914","MDD",-0.160473001,0.010188697,0.010188697,"DOWN"
"ENSG00000127920","MDD",0.393809299,0.042537385,0.042537385,"UP"
"ENSG00000127920","SZ",-0.5248388,0.00196492,0.00196492,"DOWN"
"ENSG00000127922","ADHD",-0.0531733,0.02702273,0.02702273,"DOWN"
"ENSG00000127922","MDD",0.011274384,0.019820752,0.019820752,"UP"
"ENSG00000127946","ADHD",-0.0954056,0.03300316,0.03300316,"DOWN"
"ENSG00000127946","MDD",0.37660268,0.03434148,0.03434148,"UP"
"ENSG00000127948","ASD",0.1156272,0.0018047,0.0018047,"UP"
"ENSG00000127951","BD",-0.2324922,0.00134985,0.00134985,"DOWN"
"ENSG00000127951","MDD",-0.2284602,0.00836803,0.00836803,"DOWN"
"ENSG00000127951","SZ",-0.362490529,2.26e-05,2.26e-05,"DOWN"
"ENSG00000127954","BD",0.5337,0.0014,0.0014,"UP"
"ENSG00000127957","MDD",0.11551526,0.00398276,0.00398276,"UP"
"ENSG00000127989","MDD",0.0448062783333333,0.008013459,0.008013459,"UP"
"ENSG00000127990","MDD",-0.212930324,0.013839212,0.013839212,"DOWN"
"ENSG00000128000","ADHD",0.12123812,0.00479107,0.00479107,"UP"
"ENSG00000128000","MDD",-0.14961871,0.049236531,0.049236531,"DOWN"
"ENSG00000128016","SZ",-0.4729875,0.04787161,0.04787161,"DOWN"
"ENSG00000128039","BD",-0.30657,0.0216,0.0216,"DOWN"
"ENSG00000128045","SZ",0.4144244,0.04505532,0.04505532,"UP"
"ENSG00000128059","MDD",0.237544042,0.000428602,0.000428602,"UP"
"ENSG00000128059","SZ",0.105881643,0.016453843,0.016453843,"UP"
"ENSG00000128159","ADHD",-0.0513187,0.02510081,0.02510081,"DOWN"
"ENSG00000128185","MDD",0.315839338,0.000598952,0.000598952,"UP"
"ENSG00000128203","ADHD",-0.0843718,0.04833158,0.04833158,"DOWN"
"ENSG00000128203","BD",0.27357,0.0299,0.0299,"UP"
"ENSG00000128203","MDD",-0.190122326,0.029094834,0.029094834,"DOWN"
"ENSG00000128245","MDD",0.271034736666667,0.017343621,0.017343621,"UP"
"ENSG00000128250","MDD",0.321811872,0.040006687,0.040006687,"UP"
"ENSG00000128254","MDD",-0.33794667,0.005803019,0.005803019,"DOWN"
"ENSG00000128266","ASD",0.33,6.72e-05,6.72e-05,"UP"
"ENSG00000128266","MDD",-0.0515288043333333,0.01047494,0.01047494,"DOWN"
"ENSG00000128272","ADHD",-0.1757026,0.00024471,0.00024471,"DOWN"
"ENSG00000128272","BD",0.29033,0.0218,0.0218,"UP"
"ENSG00000128274","BD",0.3677,0.0267,0.0267,"UP"
"ENSG00000128274","OCD",0.965,6.3915e-05,6.3915e-05,"UP"
"ENSG00000128274","SZ",-0.7838663,0.00015026,0.00015026,"DOWN"
"ENSG00000128283","MDD",0.70653017,0.01109157,0.01109157,"UP"
"ENSG00000128284","MDD",0.372519247,0.048317159,0.048317159,"UP"
"ENSG00000128294","MDD",0.1918387385,0.0271148,0.0271148,"UP"
"ENSG00000128298","ASD",0.45,0.00184,0.00184,"UP"
"ENSG00000128298","MDD",0.461900404,0.01547602,0.01547602,"UP"
"ENSG00000128309","ASD",0.29,0.001,0.001,"UP"
"ENSG00000128309","MDD",0.404524275,0.038031742,0.038031742,"UP"
"ENSG00000128311","ASD",0.39,0.0028,0.0028,"UP"
"ENSG00000128394","ASD",0.42408953,0.0013304,0.0013304,"UP"
"ENSG00000128482","MDD",-0.146663236,0.039588436,0.039588436,"DOWN"
"ENSG00000128482","SZ",-0.112041534,0.026,0.026,"DOWN"
"ENSG00000128512","ADHD",-0.1082265,0.0109351,0.0109351,"DOWN"
"ENSG00000128512","MDD",-0.120535919,0.0160988,0.0160988,"DOWN"
"ENSG00000128512","OCD",-0.755,2.8458e-05,2.8458e-05,"DOWN"
"ENSG00000128513","MDD",0.100628608,0.009111239,0.009111239,"UP"
"ENSG00000128524","MDD",0.0732165985,0.00992576,0.00992576,"UP"
"ENSG00000128536","ASD",0.2356333,2.67e-05,2.67e-05,"UP"
"ENSG00000128536","BD",0.17345999,0.00484843,0.00484843,"UP"
"ENSG00000128564","BD",-0.2675306,0.0223,0.0223,"DOWN"
"ENSG00000128564","OCD",-0.81424,0.002661,0.002661,"DOWN"
"ENSG00000128564","SZ",-0.216655792,0.00808964,0.00808964,"DOWN"
"ENSG00000128567","ASD",0.47,0.00881,0.00881,"UP"
"ENSG00000128567","BD",0.27202,0.0201,0.0201,"UP"
"ENSG00000128567","MDD",0.220046523,0.047834141,0.047834141,"UP"
"ENSG00000128573","ASD",0.52,0.00421,0.00421,"UP"
"ENSG00000128581","MDD",0.205561719,0.038699911,0.038699911,"UP"
"ENSG00000128585","MDD",-0.192993659,0.006264956,0.006264956,"DOWN"
"ENSG00000128590","MDD",0.199594786,0.005313259,0.005313259,"UP"
"ENSG00000128591","MDD",0.546632589333333,0.008637526,0.008637526,"UP"
"ENSG00000128594","MDD",-0.289977151,0.00586899,0.00586899,"DOWN"
"ENSG00000128595","BD",-0.1300324,0.0198,0.0198,"DOWN"
"ENSG00000128595","MDD",-0.124013189,0.024344331,0.024344331,"DOWN"
"ENSG00000128596","ADHD",-0.068772,0.03328463,0.03328463,"DOWN"
"ENSG00000128596","ASD",-0.1429399,0.00056022,0.00056022,"DOWN"
"ENSG00000128602","ASD",0.33967377,0.00010326,0.00010326,"UP"
"ENSG00000128602","MDD",-0.548890719,0.006609731,0.006609731,"DOWN"
"ENSG00000128602","OCD",0.724,0.000551301,0.000551301,"UP"
"ENSG00000128604","ADHD",-0.0891714,0.04572335,0.04572335,"DOWN"
"ENSG00000128604","MDD",0.504781353,0.012324503,0.012324503,"UP"
"ENSG00000128604","OCD",0.94581833,0.000181009,0.000181009,"UP"
"ENSG00000128606","BD",-0.3997425,1.03e-05,1.03e-05,"DOWN"
"ENSG00000128607","ADHD",-0.0558087,0.03360548,0.03360548,"DOWN"
"ENSG00000128607","ASD",-0.73,0.00209,0.00209,"DOWN"
"ENSG00000128609","OCD",0.627359758,0.00038,0.00038,"UP"
"ENSG00000128610","OCD",1.089,0.001618617,0.001618617,"UP"
"ENSG00000128626","MDD",0.2690718824,0.009998807,0.009998807,"UP"
"ENSG00000128654","MDD",0.1886223545,0.03513993,0.03513993,"UP"
"ENSG00000128655","MDD",0.156202015,0.009964339,0.009964339,"UP"
"ENSG00000128683","OCD",-1.250264578,0.00017,0.00017,"DOWN"
"ENSG00000128683","SZ",-0.141110744,0.04932703,0.04932703,"DOWN"
"ENSG00000128692","MDD",-0.237826731,0.042810967,0.042810967,"DOWN"
"ENSG00000128694","MDD",0.414683095,0.000333872,0.000333872,"UP"
"ENSG00000128699","ASD",-0.56,0.00203,0.00203,"DOWN"
"ENSG00000128708","MDD",-0.201159198,0.043687809,0.043687809,"DOWN"
"ENSG00000128731","ASD",0.11715742,0.00114796,0.00114796,"UP"
"ENSG00000128739","MDD",0.1532151,0.049123617,0.049123617,"UP"
"ENSG00000128789","MDD",0.1972641,0.016798913,0.016798913,"UP"
"ENSG00000128789","OCD",0.251,0.001866462,0.001866462,"UP"
"ENSG00000128805","SZ",-0.13189746,0.04687266,0.04687266,"DOWN"
"ENSG00000128815","ADHD",-0.0958103,0.01648476,0.01648476,"DOWN"
"ENSG00000128815","MDD",0.590705927,0.028960744,0.028960744,"UP"
"ENSG00000128815","OCD",1.091228132,0.000231533,0.000231533,"UP"
"ENSG00000128833","MDD",0.303326379333333,0.007330632,0.007330632,"UP"
"ENSG00000128833","OCD",0.697843498,0.009282,0.009282,"UP"
"ENSG00000128872","OCD",-0.328105115,0.002173593,0.002173593,"DOWN"
"ENSG00000128917","MDD",-0.393405367,0.04663729,0.04663729,"DOWN"
"ENSG00000128923","MDD",-0.197019221,0.01292565,0.01292565,"DOWN"
"ENSG00000128944","BD",0.227682105,0.00505028,0.00505028,"UP"
"ENSG00000128944","MDD",-0.138866146666667,0.0160574,0.0160574,"DOWN"
"ENSG00000128951","MDD",0.194595071,0.015258829,0.015258829,"UP"
"ENSG00000128973","MDD",0.184692809,0.019080011,0.019080011,"UP"
"ENSG00000128989","ASD",0.23,0.00661,0.00661,"UP"
"ENSG00000128989","OCD",-0.697,0.000647061,0.000647061,"DOWN"
"ENSG00000129003","MDD",-0.102978262,0.026622687,0.026622687,"DOWN"
"ENSG00000129007","ADHD",-0.0626933,0.04504097,0.04504097,"DOWN"
"ENSG00000129009","ASD",0.67,1.91e-05,1.91e-05,"UP"
"ENSG00000129009","MDD",0.462817347,0.022209003,0.022209003,"UP"
"ENSG00000129028","BD",0.24508,0.0448,0.0448,"UP"
"ENSG00000129028","MDD",0.227249343,0.035735693,0.035735693,"UP"
"ENSG00000129038","MDD",0.601403288,0.026095146,0.026095146,"UP"
"ENSG00000129038","OCD",0.81,0.000315225,0.000315225,"UP"
"ENSG00000129048","ADHD",0.10070422,0.01493807,0.01493807,"UP"
"ENSG00000129055","MDD",0.2396492645,0.01840138,0.01840138,"UP"
"ENSG00000129083","MDD",0.053561191,0.039946268,0.039946268,"UP"
"ENSG00000129084","MDD",0.245270638,0.004157388,0.004157388,"UP"
"ENSG00000129116","ADHD",-0.0862749,0.01538412,0.01538412,"DOWN"
"ENSG00000129116","ASD",0.39471155,1.33e-07,1.33e-07,"UP"
"ENSG00000129116","MDD",-0.409584514,0.023799134,0.023799134,"DOWN"
"ENSG00000129128","MDD",0.157416973,0.045707039,0.045707039,"UP"
"ENSG00000129151","MDD",0.161180219666667,0.019032777,0.019032777,"UP"
"ENSG00000129167","MDD",1.079871361,0.013918254,0.013918254,"UP"
"ENSG00000129187","ASD",-0.39,0.000376,0.000376,"DOWN"
"ENSG00000129194","OCD",0.429,0.002677154,0.002677154,"UP"
"ENSG00000129197","MDD",-0.0159541565,0.018650413,0.018650413,"DOWN"
"ENSG00000129204","MDD",0.23985545,0.0035459,0.0035459,"UP"
"ENSG00000129214","MDD",0.033342236,0.042608697,0.042608697,"UP"
"ENSG00000129244","MDD",-0.489700208,0.038024263,0.038024263,"DOWN"
"ENSG00000129245","BD",-0.0517052,0.03282433,0.03282433,"DOWN"
"ENSG00000129245","MDD",-0.0524843,0.03964901,0.03964901,"DOWN"
"ENSG00000129250","ADHD",-0.061787,0.01858981,0.01858981,"DOWN"
"ENSG00000129292","MDD",-0.142085844,0.016065346,0.016065346,"DOWN"
"ENSG00000129295","ASD",-1.03,0.00637,0.00637,"DOWN"
"ENSG00000129295","MDD",0.143184096,0.038073577,0.038073577,"UP"
"ENSG00000129315","MDD",-0.14576135725,0.00036569,0.00036569,"DOWN"
"ENSG00000129317","MDD",-0.210164691,0.007519553,0.007519553,"DOWN"
"ENSG00000129347","MDD",-0.119720933333333,0.034504931,0.034504931,"DOWN"
"ENSG00000129355","OCD",-0.521287805,9.98e-06,9.98e-06,"DOWN"
"ENSG00000129437","BD",0.33785,0.0272,0.0272,"UP"
"ENSG00000129450","BD",0.15028641,0.02472974,0.02472974,"UP"
"ENSG00000129450","MDD",1.237951289,0.014157307,0.014157307,"UP"
"ENSG00000129451","MDD",1.231023067,0.011334695,0.011334695,"UP"
"ENSG00000129467","MDD",0.5102818595,0.024461555,0.024461555,"UP"
"ENSG00000129480","MDD",0.243730849,0.0092511,0.0092511,"UP"
"ENSG00000129515","ASD",0.54,0.000356,0.000356,"UP"
"ENSG00000129518","ADHD",-0.0788884,0.00158296,0.00158296,"DOWN"
"ENSG00000129518","MDD",0.179087419,0.015688095,0.015688095,"UP"
"ENSG00000129521","ASD",0.53,4.11e-06,4.11e-06,"UP"
"ENSG00000129534","MDD",-0.176538433,0.029845638,0.029845638,"DOWN"
"ENSG00000129535","MDD",-0.494979076,0.014959286,0.014959286,"DOWN"
"ENSG00000129538","ASD",-0.4233241,0.00050056,0.00050056,"DOWN"
"ENSG00000129538","BD",-0.30235,0.036,0.036,"DOWN"
"ENSG00000129538","MDD",0.810174117,0.029050433,0.029050433,"UP"
"ENSG00000129559","MDD",0.203132998,0.038329964,0.038329964,"UP"
"ENSG00000129562","MDD",0.19145499,0.027661194,0.027661194,"UP"
"ENSG00000129566","ADHD",-0.0728452,0.00245325,0.00245325,"DOWN"
"ENSG00000129566","ASD",0.16481273,0.00197413,0.00197413,"UP"
"ENSG00000129596","MDD",-0.0259674105,0.025213473,0.025213473,"DOWN"
"ENSG00000129636","ASD",-0.1274076,0.00014492,0.00014492,"DOWN"
"ENSG00000129636","MDD",0.0997954733333333,0.018436923,0.018436923,"UP"
"ENSG00000129636","OCD",-0.482,0.00145898,0.00145898,"DOWN"
"ENSG00000129636","SZ",0.4433009,0.01245391,0.01245391,"UP"
"ENSG00000129646","ADHD",-0.0826878,0.02648922,0.02648922,"DOWN"
"ENSG00000129654","ASD",0.7307465,0.00014425,0.00014425,"UP"
"ENSG00000129654","MDD",0.96254637,0.010219441,0.010219441,"UP"
"ENSG00000129654","SZ",-0.136395834,0.042219067,0.042219067,"DOWN"
"ENSG00000129657","SZ",0.105535357,0.03221829,0.03221829,"UP"
"ENSG00000129667","MDD",0.6514752335,0.022008219,0.022008219,"UP"
"ENSG00000129675","ASD",0.13690745,0.00238191,0.00238191,"UP"
"ENSG00000129675","MDD",0.411393363,0.016168363,0.016168363,"UP"
"ENSG00000129680","ASD",0.22792513,0.00061538,0.00061538,"UP"
"ENSG00000129682","MDD",0.126019561,0.015112137,0.015112137,"UP"
"ENSG00000129691","ASD",-0.1182479,3.15e-05,3.15e-05,"DOWN"
"ENSG00000129691","BD",-0.065135805,0.0115,0.0115,"DOWN"
"ENSG00000129749","BD",-0.3240865,0.0006512,0.0006512,"DOWN"
"ENSG00000129757","ADHD",-0.1418548,0.00070012,0.00070012,"DOWN"
"ENSG00000129757","MDD",0.518866965,0.025019446,0.025019446,"UP"
"ENSG00000129911","MDD",0.01165901975,0.001002725,0.001002725,"UP"
"ENSG00000129911","OCD",-0.5261851125,0.000160593,0.000160593,"DOWN"
"ENSG00000129946","MDD",0.396047416,0.000973119,0.000973119,"UP"
"ENSG00000129946","SZ",-0.3147902,0.02436267,0.02436267,"DOWN"
"ENSG00000129951","ASD",0.35,0.0011,0.0011,"UP"
"ENSG00000129951","MDD",0.255830297,0.034836206,0.034836206,"UP"
"ENSG00000129968","MDD",0.217038949,0.040122221,0.040122221,"UP"
"ENSG00000129968","OCD",-0.501741551,0.002367219,0.002367219,"DOWN"
"ENSG00000129990","MDD",-0.0935541983333333,0.017580832,0.017580832,"DOWN"
"ENSG00000129993","ADHD",-0.1139531,0.00165611,0.00165611,"DOWN"
"ENSG00000129993","MDD",-0.387000054,0.009710628,0.009710628,"DOWN"
"ENSG00000130021","MDD",0.264476567,0.011980574,0.011980574,"UP"
"ENSG00000130024","MDD",-0.294898262,0.005750285,0.005750285,"DOWN"
"ENSG00000130035","MDD",-0.40839584,0.030391163,0.030391163,"DOWN"
"ENSG00000130037","ADHD",0.0657609,0.01934123,0.01934123,"UP"
"ENSG00000130037","MDD",-0.370220529,0.02381888,0.02381888,"DOWN"
"ENSG00000130038","BD",0.33271,0.00913,0.00913,"UP"
"ENSG00000130038","MDD",0.403729952,0.008022277,0.008022277,"UP"
"ENSG00000130045","ASD",0.42813668,0.00212934,0.00212934,"UP"
"ENSG00000130045","MDD",-0.498507517,0.027018657,0.027018657,"DOWN"
"ENSG00000130045","SZ",0.229083329,0.006444401,0.006444401,"UP"
"ENSG00000130052","BD",0.5046766,1.55e-05,1.55e-05,"UP"
"ENSG00000130052","MDD",0.333235291,0.036125053,0.036125053,"UP"
"ENSG00000130052","SZ",-0.4820383,0.01762082,0.01762082,"DOWN"
"ENSG00000130066","ASD",0.25891413,0.00047091,0.00047091,"UP"
"ENSG00000130066","MDD",-0.277237184,0.014663917,0.014663917,"DOWN"
"ENSG00000130066","OCD",-0.83834,0.00268,0.00268,"DOWN"
"ENSG00000130066","SZ",-0.4534381,0.0017955,0.0017955,"DOWN"
"ENSG00000130119","MDD",0.234526138,0.019279139,0.019279139,"UP"
"ENSG00000130147","ADHD",0.08111841,0.00763947,0.00763947,"UP"
"ENSG00000130147","MDD",0.343757545,0.038608208,0.038608208,"UP"
"ENSG00000130150","MDD",-0.234820171,0.042717662,0.042717662,"DOWN"
"ENSG00000130158","MDD",0.388246794,0.012440006,0.012440006,"UP"
"ENSG00000130158","SZ",-0.4996135,0.00475358,0.00475358,"DOWN"
"ENSG00000130159","MDD",-0.0679450223333333,0.000237342,0.000237342,"DOWN"
"ENSG00000130164","MDD",0.57753144,0.029057163,0.029057163,"UP"
"ENSG00000130164","OCD",1.153,0.000183416,0.000183416,"UP"
"ENSG00000130164","SZ",-0.5025781,0.0124657,0.0124657,"DOWN"
"ENSG00000130165","BD",-0.23124,0.0245,0.0245,"DOWN"
"ENSG00000130165","MDD",0.0228072908,9.19193e-05,9.19193e-05,"UP"
"ENSG00000130165","OCD",0.313,0.002466187,0.002466187,"UP"
"ENSG00000130175","ASD",-0.14,0.0045,0.0045,"DOWN"
"ENSG00000130175","MDD",-0.0896850883333333,0.006914303,0.006914303,"DOWN"
"ENSG00000130176","BD",-0.1561572,0.00576313,0.00576313,"DOWN"
"ENSG00000130177","BD",-0.15424,0.0237,0.0237,"DOWN"
"ENSG00000130177","MDD",-0.145253473333333,0.040180454,0.040180454,"DOWN"
"ENSG00000130193","MDD",0.236975677,0.046965405,0.046965405,"UP"
"ENSG00000130202","ASD",0.24339526,0.00065706,0.00065706,"UP"
"ENSG00000130202","MDD",0.220052709,0.045050882,0.045050882,"UP"
"ENSG00000130202","OCD",0.573,0.000148868,0.000148868,"UP"
"ENSG00000130202","SZ",-0.3851337,0.00926,0.00926,"DOWN"
"ENSG00000130203","ASD",0.38801096,0.0001738,0.0001738,"UP"
"ENSG00000130204","MDD",0.179201277,0.010808872,0.010808872,"UP"
"ENSG00000130208","ASD",0.47878055,0.00145591,0.00145591,"UP"
"ENSG00000130208","BD",-0.2630454,0.02420078,0.02420078,"DOWN"
"ENSG00000130208","MDD",-0.484597441333333,0.018644173,0.018644173,"DOWN"
"ENSG00000130222","ASD",0.59244035,0.00037749,0.00037749,"UP"
"ENSG00000130222","BD",0.7292491,4.68e-05,4.68e-05,"UP"
"ENSG00000130222","MDD",-0.782377491,0.035517577,0.035517577,"DOWN"
"ENSG00000130222","SZ",-0.5005836,0.00775764,0.00775764,"DOWN"
"ENSG00000130224","ASD",0.1116063,0.00290098,0.00290098,"UP"
"ENSG00000130224","MDD",-0.0200094755,0.009142901,0.009142901,"DOWN"
"ENSG00000130226","ASD",0.23,0.00533,0.00533,"UP"
"ENSG00000130244","MDD",0.260621569666667,0.00700334,0.00700334,"UP"
"ENSG00000130254","ASD",0.14698077,0.00108058,0.00108058,"UP"
"ENSG00000130255","ASD",0.15815985,0.0008932,0.0008932,"UP"
"ENSG00000130255","MDD",0.312364932,0.000228312,0.000228312,"UP"
"ENSG00000130270","ADHD",-0.0472534,0.0425012,0.0425012,"DOWN"
"ENSG00000130283","BD",-0.1580547,0.02304334,0.02304334,"DOWN"
"ENSG00000130287","ADHD",-0.0760591,0.02254837,0.02254837,"DOWN"
