"","AD","ADHD","ASD","BD","MDD","OCD","SZ"
"AD",1,0,0,0,0,0,0
"ADHD",0,1,0.0455150385946234,0.048177887584929,0.0652986441920117,0.044039270687237,0.0433275563258232
"ASD",0,0.0455150385946234,1,0.0636256851996868,0.0753885074087459,0.0848905499199146,0.0643337819650067
"BD",0,0.048177887584929,0.0636256851996868,1,0.109029314159292,0.0686976078511552,0.146281362007168
"MDD",0,0.0652986441920117,0.0753885074087459,0.109029314159292,1,0.0667442198633125,0.0680651312894235
"OCD",0,0.044039270687237,0.0848905499199146,0.0686976078511552,0.0667442198633125,1,0.0889018012783266
"SZ",0,0.0433275563258232,0.0643337819650067,0.146281362007168,0.0680651312894235,0.0889018012783266,1
