"gene","hgnc_symbol","n_disorders","disorders","degree","weighted_degree"
"ENSG00000172845","SP3",2,"BD;MDD",4639,6215
"ENSG00000172889","EGFL7",3,"ASD;MDD;SZ",4826,6917
"ENSG00000172932","ANKRD13D",3,"ADHD;ASD;MDD",4624,6636
"ENSG00000172986","GXYLT2",2,"BD;SZ",2876,3528
"ENSG00000172987","HPSE2",2,"BD;SZ",2876,3528
"ENSG00000172992","DCAKD",2,"MDD;OCD",4488,5405
"ENSG00000173039","RELA",3,"ASD;OCD;SZ",3360,4154
"ENSG00000173040","EVC2",2,"ASD;BD",3243,3567
"ENSG00000173085","COQ2",2,"BD;SZ",2876,3528
"ENSG00000173110","HSPA6",2,"ADHD;OCD",2281,2437
"ENSG00000173137","ADCK5",2,"ADHD;MDD",4310,5200
"ENSG00000173166","RAPH1",2,"ADHD;MDD",4310,5200
"ENSG00000173193","PARP14",3,"ASD;MDD;SZ",4826,6917
"ENSG00000173207","CKS1B",2,"ADHD;MDD",4310,5200
"ENSG00000173210","ABLIM3",2,"BD;MDD",4639,6215
"ENSG00000173221","GLRX",4,"ASD;BD;MDD;SZ",4972,9048
"ENSG00000173227","SYT12",4,"ASD;BD;MDD;SZ",4972,9048
"ENSG00000173267","SNCG",3,"BD;MDD;OCD",4878,7536
"ENSG00000173269","MMRN2",2,"MDD;SZ",4554,5481
"ENSG00000173275","ZNF449",2,"BD;MDD",4639,6215
"ENSG00000173281","PPP1R3B",4,"ASD;BD;MDD;SZ",4972,9048
"ENSG00000173295","FAM86B3P",3,"ADHD;BD;MDD",4766,7331
"ENSG00000173327","MAP3K11",2,"MDD;SZ",4554,5481
"ENSG00000173334","TRIB1",3,"ADHD;BD;MDD",4766,7331
"ENSG00000173349","SFT2D3",2,"ADHD;MDD",4310,5200
"ENSG00000173369","C1QB",3,"ADHD;BD;OCD",3877,4568
"ENSG00000173372","C1QA",2,"ADHD;BD",3014,3247
"ENSG00000173376","NDNF",3,"ADHD;BD;MDD",4766,7331
"ENSG00000173391","OLR1",4,"ADHD;BD;MDD;SZ",4907,8728
"ENSG00000173451","THAP2",2,"ASD;MDD",4478,5520
"ENSG00000173452","TMEM196",2,"OCD;SZ",2413,2718
"ENSG00000173457","PPP1R14B",2,"ASD;SZ",2595,2833
"ENSG00000173482","PTPRM",2,"BD;MDD",4639,6215
"ENSG00000173486","FKBP2",2,"BD;MDD",4639,6215
"ENSG00000173517","PEAK1",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000173530","TNFRSF10D",3,"ASD;BD;OCD",3969,4888
"ENSG00000173542","MOB1B",2,"ASD;MDD",4478,5520
"ENSG00000173545","ZNF622",2,"ADHD;MDD",4310,5200
"ENSG00000173546","CSPG4",2,"OCD;SZ",2413,2718
"ENSG00000173548","SNX33",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000173559","NABP1",4,"ADHD;ASD;BD;MDD",4940,8767
"ENSG00000173597","SULT1B1",3,"ADHD;BD;MDD",4766,7331
"ENSG00000173598","NUDT4",2,"BD;MDD",4639,6215
"ENSG00000173611","SCAI",2,"ASD;MDD",4478,5520
"ENSG00000173614","NMNAT1",2,"BD;MDD",4639,6215
"ENSG00000173621","LRFN4",2,"MDD;SZ",4554,5481
"ENSG00000173641","HSPB7",2,"ADHD;MDD",4310,5200
"ENSG00000173674","EIF1AX",2,"ASD;MDD",4478,5520
"ENSG00000173681","BCLAF3",2,"ASD;MDD",4478,5520
"ENSG00000173698","ADGRG2",2,"BD;MDD",4639,6215
"ENSG00000173706","HEG1",4,"ADHD;BD;MDD;SZ",4907,8728
"ENSG00000173714","WFIKKN2",2,"BD;SZ",2876,3528
"ENSG00000173805","HAP1",3,"ASD;OCD;SZ",3360,4154
"ENSG00000173825","TIGD3",2,"ASD;MDD",4478,5520
"ENSG00000173848","NET1",3,"ASD;BD;MDD",4878,7651
"ENSG00000173889","PHC3",2,"ADHD;MDD",4310,5200
"ENSG00000173898","SPTBN2",2,"MDD;OCD",4488,5405
"ENSG00000173918","C1QTNF1",2,"MDD;SZ",4554,5481
"ENSG00000173991","TCAP",2,"BD;SZ",2876,3528
"ENSG00000173992","CCS",2,"ASD;MDD",4478,5520
"ENSG00000174007","CEP19",2,"MDD;OCD",4488,5405
"ENSG00000174021","GNG5",2,"ADHD;MDD",4310,5200
"ENSG00000174059","CD34",2,"ASD;MDD",4478,5520
"ENSG00000174125","TLR1",2,"BD;MDD",4639,6215
"ENSG00000174132","FAM174A",2,"BD;MDD",4639,6215
"ENSG00000174403","CRMA",2,"ASD;MDD",4478,5520
"ENSG00000174405","LIG4",2,"ASD;MDD",4478,5520
"ENSG00000174473","GALNTL6",2,"MDD;SZ",4554,5481
"ENSG00000174482","LINGO2",3,"ADHD;BD;SZ",3672,4644
"ENSG00000174516","PELI3",2,"ASD;MDD",4478,5520
"ENSG00000174576","NPAS4",3,"MDD;OCD;SZ",4809,6802
"ENSG00000174607","UGT8",3,"ASD;MDD;OCD",4712,6841
"ENSG00000174611","KY",2,"ADHD;MDD",4310,5200
"ENSG00000174640","SLCO2A1",4,"ASD;BD;MDD;OCD",4983,8972
"ENSG00000174672","BRSK2",2,"MDD;OCD",4488,5405
"ENSG00000174705","SH3PXD2B",2,"MDD;OCD",4488,5405
"ENSG00000174738","NR1D2",2,"ASD;MDD",4478,5520
"ENSG00000174748","RPL15",2,"ADHD;MDD",4310,5200
"ENSG00000174775","HRAS",2,"MDD;OCD",4488,5405
"ENSG00000174871","CNIH2",2,"MDD;OCD",4488,5405
"ENSG00000174917","MICOS13",2,"ASD;MDD",4478,5520
"ENSG00000174939","ASPHD1",3,"MDD;OCD;SZ",4809,6802
"ENSG00000174953","DHX36",2,"ASD;MDD",4478,5520
"ENSG00000174963","ZIC4",2,"MDD;SZ",4554,5481
"ENSG00000175003","SLC22A1",2,"ADHD;MDD",4310,5200
"ENSG00000175029","CTBP2",2,"ASD;OCD",2440,2757
"ENSG00000175147","TMEM51-AS1",2,"MDD;SZ",4554,5481
"ENSG00000175161","CADM2",2,"MDD;OCD",4488,5405
"ENSG00000175193","PARL",2,"BD;MDD",4639,6215
"ENSG00000175197","DDIT3",2,"ADHD;MDD",4310,5200
"ENSG00000175221","MED16",2,"MDD;OCD",4488,5405
"ENSG00000175229","GAL3ST3",2,"MDD;OCD",4488,5405
"ENSG00000175264","CHST1",2,"MDD;OCD",4488,5405
"ENSG00000175287","PHYHD1",2,"MDD;OCD",4488,5405
"ENSG00000175322","ZNF519",2,"BD;MDD",4639,6215
"ENSG00000175334","BANF1",2,"BD;MDD",4639,6215
"ENSG00000175344","CHRNA7",2,"MDD;OCD",4488,5405
"ENSG00000175356","SCUBE2",2,"ASD;MDD",4478,5520
"ENSG00000175376","EIF1AD",2,"ADHD;OCD",2281,2437
"ENSG00000175395","ZNF25",2,"ASD;MDD",4478,5520
"ENSG00000175416","CLTB",2,"ADHD;MDD",4310,5200
"ENSG00000175426","PCSK1",2,"ASD;OCD",2440,2757
"ENSG00000175471","MCTP1",2,"ASD;OCD",2440,2757
"ENSG00000175482","POLD4",2,"MDD;SZ",4554,5481
"ENSG00000175497","DPP10",3,"BD;MDD;SZ",4810,7612
"ENSG00000175520","UBQLN3",2,"ADHD;BD",3014,3247
"ENSG00000175538","KCNE3",2,"BD;OCD",3117,3452
"ENSG00000175550","DRAP1",2,"ADHD;MDD",4310,5200
"ENSG00000175556","LONRF3",2,"ASD;BD",3243,3567
"ENSG00000175567","UCP2",2,"MDD;OCD",4488,5405
"ENSG00000175575","PAAF1",3,"ADHD;MDD;OCD",4654,6521
"ENSG00000175602","CCDC85B",2,"MDD;OCD",4488,5405
"ENSG00000175727","MLXIP",2,"BD;MDD",4639,6215
"ENSG00000175745","NR2F1",2,"MDD;SZ",4554,5481
"ENSG00000175785","PRIMA1",3,"BD;MDD;SZ",4810,7612
"ENSG00000175793","SFN",3,"ASD;BD;SZ",3840,4964
"ENSG00000175899","A2M",2,"BD;SZ",2876,3528
"ENSG00000175906","ARL4D",4,"BD;MDD;OCD;SZ",4958,8933
"ENSG00000175928","LRRN1",2,"BD;OCD",3117,3452
"ENSG00000176014","TUBB6",4,"BD;MDD;OCD;SZ",4958,8933
"ENSG00000176046","NUPR1",3,"ASD;BD;SZ",3840,4964
