"gene","degree","weighted_degree","hgnc_symbol"
"ENSG00000077279",4809,6802,"DCX"
"ENSG00000077348",4478,5520,"EXOSC5"
"ENSG00000077420",4727,6597,"APBB1IP"
"ENSG00000077463",4310,5200,"SIRT6"
"ENSG00000077585",4478,5520,"GPR137B"
"ENSG00000077616",4810,7612,"NAALAD2"
"ENSG00000077782",4712,6841,"FGFR1"
"ENSG00000078070",4639,6215,"MCCC1"
"ENSG00000078098",4809,6802,"FAP"
"ENSG00000078142",4488,5405,"PIK3C3"
"ENSG00000078246",4310,5200,"TULP3"
"ENSG00000078269",4488,5405,"SYNJ2"
"ENSG00000078328",2440,2757,"RBFOX1"
"ENSG00000078401",2876,3528,"EDN1"
"ENSG00000078596",4878,7651,"ITM2A"
"ENSG00000078668",4624,6636,"VDAC3"
"ENSG00000078687",4478,5520,"TNRC6C"
"ENSG00000078699",4310,5200,"CBFA2T2"
"ENSG00000078747",4310,5200,"ITCH"
"ENSG00000078804",2281,2437,"TP53INP2"
"ENSG00000078814",4712,6841,"MYH7B"
"ENSG00000079101",4310,5200,"CLUL1"
"ENSG00000079102",4478,5520,"RUNX1T1"
"ENSG00000079432",4488,5405,"CIC"
"ENSG00000079482",4478,5520,"OPHN1"
"ENSG00000079689",4554,5481,"SCGN"
"ENSG00000080189",4624,6636,"SLC35C2"
"ENSG00000080493",4639,6215,"SLC4A4"
"ENSG00000080546",4907,8728,"SESN1"
"ENSG00000080573",4972,9048,"COL5A3"
"ENSG00000080603",4639,6215,"SRCAP"
"ENSG00000080644",4809,6802,"CHRNA3"
"ENSG00000080854",4478,5520,"IGSF9B"
"ENSG00000081014",4639,6215,"AP4E1"
"ENSG00000081041",4310,5200,"CXCL2"
"ENSG00000081052",4310,5200,"COL4A4"
"ENSG00000081181",4639,6215,"ARG2"
"ENSG00000081320",4972,9048,"STK17B"
"ENSG00000081386",4654,6521,"ZNF510"
"ENSG00000081665",4639,6215,"ZNF506"
"ENSG00000081692",4639,6215,"JMJD4"
"ENSG00000081803",3243,3567,"CADPS2"
"ENSG00000081853",4639,6215,"PCDHGA2"
"ENSG00000081913",4310,5200,"PHLPP1"
"ENSG00000082014",4478,5520,"SMARCD3"
"ENSG00000082074",2876,3528,"FYB1"
"ENSG00000082146",4310,5200,"STRADB"
"ENSG00000082196",4488,5405,"C1QTNF3"
"ENSG00000082213",4310,5200,"C5orf22"
"ENSG00000082438",4639,6215,"COBLL1"
"ENSG00000082482",2413,2718,"KCNK2"
"ENSG00000082497",2440,2757,"SERTAD4"
"ENSG00000082701",2382,2552,"GSK3B"
"ENSG00000082805",4310,5200,"ERC1"
"ENSG00000082898",4478,5520,"XPO1"
"ENSG00000083067",4809,6802,"TRPM3"
"ENSG00000083123",4639,6215,"BCKDHB"
"ENSG00000083290",4488,5405,"ULK2"
"ENSG00000083444",4507,6080,"PLOD1"
"ENSG00000083457",4310,5200,"ITGAE"
"ENSG00000083535",4310,5200,"PIBF1"
"ENSG00000083720",2413,2718,"OXCT1"
"ENSG00000083750",2876,3528,"RRAGB"
"ENSG00000083799",4488,5405,"CYLD"
"ENSG00000083857",2876,3528,"FAT1"
"ENSG00000084090",4766,7331,"STARD7"
"ENSG00000084207",4554,5481,"GSTP1"
"ENSG00000084444",4478,5520,"FAM234B"
"ENSG00000084453",4878,7536,"SLCO1A2"
"ENSG00000084623",4488,5405,"EIF3I"
"ENSG00000084676",4310,5200,"NCOA1"
"ENSG00000084731",4488,5405,"KIF3C"
"ENSG00000084734",4639,6215,"GCKR"
"ENSG00000084754",2440,2757,"HADHA"
"ENSG00000085063",4983,8972,"CD59"
"ENSG00000085382",4488,5405,"HACE1"
"ENSG00000085433",4809,6802,"WDR47"
"ENSG00000085465",2876,3528,"OVGP1"
"ENSG00000085514",4554,5481,"PILRA"
"ENSG00000085563",4972,9048,"ABCB1"
"ENSG00000085719",4478,5520,"CPNE3"
"ENSG00000085788",2440,2757,"DDHD2"
"ENSG00000085832",2382,2552,"EPS15"
"ENSG00000085978",4478,5520,"ATG16L1"
"ENSG00000086015",4310,5200,"MAST2"
"ENSG00000086300",4488,5405,"SNX10"
"ENSG00000086544",4958,8933,"ITPKC"
"ENSG00000086666",3243,3567,"ZFAND6"
"ENSG00000086730",4878,7536,"LAT2"
"ENSG00000086848",4488,5405,"ALG9"
"ENSG00000087053",4478,5520,"MTMR2"
"ENSG00000087074",3117,3452,"PPP1R15A"
"ENSG00000087076",4488,5405,"HSD17B14"
"ENSG00000087077",2413,2718,"TRIP6"
"ENSG00000087085",4809,6802,"ACHE"
"ENSG00000087087",4310,5200,"SRRT"
"ENSG00000087095",2440,2757,"NLK"
"ENSG00000087116",4878,7536,"ADAMTS2"
"ENSG00000087152",4310,5200,"ATXN7L3"
"ENSG00000087245",2876,3528,"MMP2"
"ENSG00000087250",4810,7612,"MT3"
"ENSG00000087258",4478,5520,"GNAO1"
"ENSG00000087303",4310,5200,"NID2"
"ENSG00000087502",4478,5520,"ERGIC2"
"ENSG00000087842",4478,5520,"PIR"
"ENSG00000088035",4639,6215,"ALG6"
"ENSG00000088179",4488,5405,"PTPN4"
"ENSG00000088280",4429,6285,"ASAP3"
"ENSG00000088448",2876,3528,"ANKRD10"
"ENSG00000088543",4624,6636,"C3orf18"
"ENSG00000088808",4310,5200,"PPP1R13B"
"ENSG00000088832",4478,5520,"FKBP1A"
"ENSG00000088836",4639,6215,"SLC4A11"
"ENSG00000088854",4310,5200,"DNAAF9"
"ENSG00000088881",4554,5481,"EBF4"
"ENSG00000088992",4478,5520,"TESC"
"ENSG00000089009",4488,5405,"RPL6"
"ENSG00000089060",3243,3567,"SLC8B1"
"ENSG00000089157",4488,5405,"RPLP0"
"ENSG00000089159",4429,6285,"PXN"
"ENSG00000089163",4310,5200,"SIRT4"
"ENSG00000089169",4983,8972,"RPH3A"
"ENSG00000089558",4654,6521,"KCNH4"
"ENSG00000089639",2364,2513,"GMIP"
"ENSG00000089818",4310,5200,"NECAP1"
"ENSG00000089876",4712,6841,"DHX32"
"ENSG00000089902",4639,6215,"RCOR1"
"ENSG00000090013",4712,6841,"BLVRB"
"ENSG00000090061",4624,6636,"CCNK"
"ENSG00000090104",4554,5481,"RGS1"
"ENSG00000090238",4639,6215,"YPEL3"
"ENSG00000090266",4639,6215,"NDUFB2"
"ENSG00000090339",3682,4849,"ICAM1"
"ENSG00000090382",4878,7536,"LYZ"
"ENSG00000090565",4310,5200,"RAB11FIP3"
"ENSG00000090581",2440,2757,"GNPTG"
"ENSG00000090612",4310,5200,"ZNF268"
"ENSG00000090615",4478,5520,"GOLGA3"
"ENSG00000090674",3986,4683,"MCOLN1"
"ENSG00000090686",4488,5405,"USP48"
