"gene","degree","weighted_degree","hgnc_symbol"
"ENSG00000118298",4639,6215,"CA14"
"ENSG00000118322",4478,5520,"ATP10B"
"ENSG00000118432",4809,6802,"CNR1"
"ENSG00000118473",4488,5405,"SGIP1"
"ENSG00000118503",4639,6215,"TNFAIP3"
"ENSG00000118579",4639,6215,"MED28"
"ENSG00000118620",4639,6215,"ZNF430"
"ENSG00000118640",4488,5405,"VAMP8"
"ENSG00000118707",4810,7612,"TGIF2"
"ENSG00000118777",3840,4964,"ABCG2"
"ENSG00000118785",4957,8652,"SPP1"
"ENSG00000118816",4310,5200,"CCNI"
"ENSG00000118898",4554,5481,"PPL"
"ENSG00000118946",4826,6917,"PCDH17"
"ENSG00000118965",4478,5520,"WDR35"
"ENSG00000118985",2876,3528,"ELL2"
"ENSG00000119041",4639,6215,"GTF3C3"
"ENSG00000119185",4488,5405,"ITGB1BP1"
"ENSG00000119203",4478,5520,"CPSF3"
"ENSG00000119285",4310,5200,"HEATR1"
"ENSG00000119321",4654,6521,"FKBP15"
"ENSG00000119333",4478,5520,"DYNC2I2"
"ENSG00000119408",2440,2757,"NEK6"
"ENSG00000119508",4958,8933,"NR4A3"
"ENSG00000119514",4478,5520,"GALNT12"
"ENSG00000119522",4310,5200,"DENND1A"
"ENSG00000119596",4478,5520,"YLPM1"
"ENSG00000119630",2413,2718,"PGF"
"ENSG00000119636",4826,6917,"BBOF1"
"ENSG00000119650",3243,3567,"IFT43"
"ENSG00000119685",4310,5200,"TTLL5"
"ENSG00000119688",2876,3528,"ABCD4"
"ENSG00000119699",3682,4849,"TGFB3"
"ENSG00000119707",4478,5520,"RBM25"
"ENSG00000119714",4488,5405,"GPR68"
"ENSG00000119725",4639,6215,"ZNF410"
"ENSG00000119729",4488,5405,"RHOQ"
"ENSG00000119777",4654,6521,"TMEM214"
"ENSG00000119820",4310,5200,"YIPF4"
"ENSG00000119844",4488,5405,"AFTPH"
"ENSG00000119866",4712,6841,"BCL11A"
"ENSG00000119900",4310,5200,"OGFRL1"
"ENSG00000119938",4878,7536,"PPP1R3C"
"ENSG00000119953",4310,5200,"SMNDC1"
"ENSG00000119969",4639,6215,"HELLS"
"ENSG00000119973",4639,6215,"PRLHR"
"ENSG00000120053",2595,2833,"GOT1"
"ENSG00000120129",4958,8933,"DUSP1"
"ENSG00000120156",4554,5481,"TEK"
"ENSG00000120159",4639,6215,"CAAP1"
"ENSG00000120162",4712,6841,"MOB3B"
"ENSG00000120251",3360,4154,"GRIA2"
"ENSG00000120265",4712,6841,"PCMT1"
"ENSG00000120278",2876,3528,"PLEKHG1"
"ENSG00000120279",2876,3528,"MYCT1"
"ENSG00000120318",2876,3528,"ARAP3"
"ENSG00000120457",4639,6215,"KCNJ5"
"ENSG00000120471",4310,5200,"TP53AIP1"
"ENSG00000120533",4478,5520,"ENY2"
"ENSG00000120645",4950,8238,"IQSEC3"
"ENSG00000120669",3117,3452,"SOHLH2"
"ENSG00000120694",4878,7536,"HSPH1"
"ENSG00000120696",3986,4683,"KBTBD7"
"ENSG00000120738",5008,10049,"EGR1"
"ENSG00000120784",4310,5200,"ZFP30"
"ENSG00000120800",4310,5200,"UTP20"
"ENSG00000120833",4810,7612,"SOCS2"
"ENSG00000120875",5008,10049,"DUSP4"
"ENSG00000120889",4878,7651,"TNFRSF10B"
"ENSG00000120896",4809,6802,"SORBS3"
"ENSG00000120899",2595,2833,"PTK2B"
"ENSG00000121039",4878,7651,"RDH10"
"ENSG00000121057",4310,5200,"AKAP1"
"ENSG00000121060",3840,4964,"TRIM25"
"ENSG00000121068",4554,5481,"TBX2"
"ENSG00000121101",4310,5200,"TEX14"
"ENSG00000121236",4478,5520,"TRIM6"
"ENSG00000121274",3243,3567,"TENT4B"
"ENSG00000121281",4958,8933,"ADCY7"
"ENSG00000121350",4639,6215,"PYROXD1"
"ENSG00000121413",4878,7651,"ZSCAN18"
"ENSG00000121440",4488,5405,"PDZRN3"
"ENSG00000121644",4639,6215,"DESI2"
"ENSG00000121653",4488,5405,"MAPK8IP1"
"ENSG00000121716",4554,5481,"PILRB"
"ENSG00000121741",4639,6215,"ZMYM2"
"ENSG00000121895",4810,7612,"TMEM156"
"ENSG00000121957",4488,5405,"GPSM2"
"ENSG00000121966",3682,4849,"CXCR4"
"ENSG00000122008",4310,5200,"POLK"
"ENSG00000122012",4958,8933,"SV2C"
"ENSG00000122025",4310,5200,"FLT3"
"ENSG00000122026",4712,6841,"RPL21"
"ENSG00000122042",4488,5405,"UBL3"
"ENSG00000122085",4639,6215,"MTERF4"
"ENSG00000122176",4639,6215,"FMOD"
"ENSG00000122203",4488,5405,"KIAA1191"
"ENSG00000122223",4310,5200,"CD244"
"ENSG00000122299",4478,5520,"ZC3H7A"
"ENSG00000122367",4478,5520,"LDB3"
"ENSG00000122378",4310,5200,"PRXL2A"
"ENSG00000122477",4639,6215,"LRRC39"
"ENSG00000122483",4478,5520,"CCDC18"
"ENSG00000122507",4310,5200,"BBS9"
"ENSG00000122547",2382,2552,"EEPD1"
"ENSG00000122644",4639,6215,"ARL4A"
"ENSG00000122679",4488,5405,"RAMP3"
"ENSG00000122696",4624,6636,"SLC25A51"
"ENSG00000122741",4478,5520,"DCAF10"
"ENSG00000122824",4554,5481,"NUDT10"
"ENSG00000122863",2413,2718,"CHST3"
"ENSG00000122873",4488,5405,"CISD1"
"ENSG00000122877",4926,7918,"EGR2"
"ENSG00000122884",4972,9048,"P4HA1"
"ENSG00000123064",4310,5200,"DDX54"
"ENSG00000123080",4826,6917,"CDKN2C"
"ENSG00000123091",4478,5520,"RNF11"
"ENSG00000123119",4478,5520,"NECAB1"
"ENSG00000123200",4639,6215,"ZC3H13"
"ENSG00000123213",4478,5520,"NLN"
"ENSG00000123243",4878,7651,"ITIH5"
"ENSG00000123329",4310,5200,"ARHGAP9"
"ENSG00000123338",2876,3528,"NCKAP1L"
"ENSG00000123349",4488,5405,"PFDN5"
"ENSG00000123358",4958,8933,"NR4A1"
"ENSG00000123374",3682,4849,"CDK2"
"ENSG00000123416",4310,5200,"TUBA1B"
"ENSG00000123444",4478,5520,"KBTBD4"
"ENSG00000123560",4478,5520,"PLP1"
"ENSG00000123570",4478,5520,"RAB9B"
"ENSG00000123600",4488,5405,"METTL8"
"ENSG00000123609",2440,2757,"NMI"
"ENSG00000123612",4488,5405,"ACVR1C"
"ENSG00000123643",4983,8972,"SLC36A1"
"ENSG00000123689",4639,6215,"G0S2"
"ENSG00000123810",3014,3247,"B9D2"
"ENSG00000123836",4639,6215,"PFKFB2"
"ENSG00000123870",4639,6215,"ZNF137P"
"ENSG00000123977",4488,5405,"DAW1"
"ENSG00000123989",3117,3452,"CHPF"
"ENSG00000123992",4878,7651,"DNPEP"
"ENSG00000124098",4310,5200,"FAM210B"
"ENSG00000124134",4478,5520,"KCNS1"
"ENSG00000124160",4639,6215,"NCOA5"
"ENSG00000124193",4766,7331,"SRSF6"
"ENSG00000124205",3243,3567,"EDN3"
"ENSG00000124215",4639,6215,"CDH26"
"ENSG00000124217",4310,5200,"MOCS3"
"ENSG00000124228",4766,7331,"DDX27"
"ENSG00000124302",4624,6636,"CHST8"
"ENSG00000124380",4639,6215,"SNRNP27"
"ENSG00000124406",4488,5405,"ATP8A1"
"ENSG00000124444",4639,6215,"ZNF576"
"ENSG00000124491",3117,3452,"F13A1"
"ENSG00000124507",4488,5405,"PACSIN1"
"ENSG00000124549",4639,6215,"BTN2A3P"
"ENSG00000124562",4310,5200,"SNRPC"
"ENSG00000124596",4310,5200,"OARD1"
"ENSG00000124614",4478,5520,"RPS10"
"ENSG00000124702",4878,7651,"KLHDC3"
"ENSG00000124762",3840,4964,"CDKN1A"
"ENSG00000124766",4826,6917,"SOX4"
"ENSG00000124782",3969,4888,"RREB1"
"ENSG00000124783",4310,5200,"SSR1"
"ENSG00000124785",4478,5520,"NRN1"
"ENSG00000124787",4310,5200,"RPP40"
"ENSG00000124788",4488,5405,"ATXN1"
"ENSG00000124942",3243,3567,"AHNAK"
"ENSG00000125107",4639,6215,"CNOT1"
"ENSG00000125122",4478,5520,"FBXL9P"
"ENSG00000125124",4310,5200,"BBS2"
"ENSG00000125144",2876,3528,"MT1G"
"ENSG00000125148",3672,4644,"MT2A"
"ENSG00000125247",4478,5520,"TMTC4"
"ENSG00000125257",2413,2718,"ABCC4"
"ENSG00000125285",3986,4683,"SOX21"
"ENSG00000125304",4554,5481,"TM9SF2"
"ENSG00000125337",4310,5200,"KIF25"
"ENSG00000125347",3840,4964,"IRF1"
"ENSG00000125355",3243,3567,"TMEM255A"
"ENSG00000125356",4488,5405,"NDUFA1"
"ENSG00000125386",4310,5200,"FAM193A"
"ENSG00000125430",2876,3528,"HS3ST3B1"
"ENSG00000125449",4478,5520,"ARMC7"
"ENSG00000125458",4878,7651,"NT5C"
"ENSG00000125462",4639,6215,"MIR9-1HG"
"ENSG00000125520",4950,8238,"SLC2A4RG"
"ENSG00000125534",4478,5520,"PPDPF"
"ENSG00000125637",2440,2757,"PSD4"
"ENSG00000125648",4488,5405,"SLC25A23"
"ENSG00000125651",4624,6636,"GTF2F1"
"ENSG00000125691",4488,5405,"RPL23"
"ENSG00000125730",4957,8652,"C3"
"ENSG00000125733",3682,4849,"TRIP10"
"ENSG00000125735",3117,3452,"TNFSF14"
"ENSG00000125740",4926,7918,"FOSB"
"ENSG00000125741",4554,5481,"OPA3"
"ENSG00000125743",4488,5405,"SNRPD2"
"ENSG00000125753",3257,3873,"VASP"
"ENSG00000125755",4766,7331,"SYMPK"
"ENSG00000125772",3986,4683,"GPCPD1"
"ENSG00000125779",4766,7331,"PANK2"
"ENSG00000125810",3117,3452,"CD93"
"ENSG00000125826",2364,2513,"RBCK1"
"ENSG00000125827",4478,5520,"TMX4"
"ENSG00000125834",3014,3247,"STK35"
"ENSG00000125841",4972,9048,"NRSN2"
"ENSG00000125844",4310,5200,"RRBP1"
"ENSG00000125845",4712,6841,"BMP2"
"ENSG00000125850",4639,6215,"OVOL2"
"ENSG00000125863",4488,5405,"MKKS"
"ENSG00000125877",4639,6215,"ITPA"
"ENSG00000125885",4310,5200,"MCM8"
"ENSG00000125968",2876,3528,"ID1"
"ENSG00000125970",4488,5405,"RALY"
"ENSG00000126003",4810,7612,"PLAGL2"
"ENSG00000126217",4478,5520,"MCF2L"
"ENSG00000126247",4488,5405,"CAPNS1"
"ENSG00000126351",4639,6215,"THRA"
"ENSG00000126391",4639,6215,"FRMD8"
"ENSG00000126432",4554,5481,"PRDX5"
"ENSG00000126457",4310,5200,"PRMT1"
"ENSG00000126458",4810,7612,"RRAS"
"ENSG00000126461",4310,5200,"SCAF1"
"ENSG00000126464",4310,5200,"PRR12"
"ENSG00000126500",4554,5481,"FLRT1"
"ENSG00000126562",4310,5200,"WNK4"
"ENSG00000126581",2440,2757,"BECN1"
"ENSG00000126603",4488,5405,"GLIS2"
"ENSG00000126709",4972,9048,"IFI6"
"ENSG00000126733",4488,5405,"DACH2"
"ENSG00000126749",4478,5520,"EMG1"
"ENSG00000126767",4878,7651,"ELK1"
"ENSG00000126804",4310,5200,"ZBTB1"
"ENSG00000126822",4712,6841,"PLEKHG3"
"ENSG00000126882",4810,7612,"FAM78A"
"ENSG00000126934",4554,5481,"MAP2K2"
"ENSG00000127054",4310,5200,"INTS11"
"ENSG00000127080",4639,6215,"IPPK"
"ENSG00000127084",4727,6597,"FGD3"
"ENSG00000127184",4488,5405,"COX7C"
"ENSG00000127191",2876,3528,"TRAF2"
"ENSG00000127220",4488,5405,"ABHD8"
"ENSG00000127241",4878,7536,"MASP1"
"ENSG00000127311",4639,6215,"HELB"
"ENSG00000127314",4478,5520,"RAP1B"
"ENSG00000127329",4639,6215,"PTPRB"
"ENSG00000127334",4766,7331,"DYRK2"
"ENSG00000127419",4478,5520,"TMEM175"
"ENSG00000127452",4488,5405,"FBXL12"
"ENSG00000127472",4554,5481,"PLA2G5"
"ENSG00000127511",4639,6215,"SIN3B"
"ENSG00000127527",4488,5405,"EPS15L1"
"ENSG00000127528",4810,7612,"KLF2"
"ENSG00000127578",4639,6215,"WFIKKN1"
"ENSG00000127585",4488,5405,"FBXL16"
"ENSG00000127586",4639,6215,"CHTF18"
"ENSG00000127663",4639,6215,"KDM4B"
"ENSG00000127824",4624,6636,"TUBA4A"
"ENSG00000127838",4639,6215,"PNKD"
"ENSG00000127870",2440,2757,"RNF6"
"ENSG00000127884",4639,6215,"ECHS1"
"ENSG00000127914",4310,5200,"AKAP9"
"ENSG00000127920",4554,5481,"GNG11"
"ENSG00000127922",4310,5200,"SEM1"
"ENSG00000127946",4310,5200,"HIP1"
"ENSG00000127951",4810,7612,"FGL2"
"ENSG00000128000",4310,5200,"ZNF780B"
"ENSG00000128059",4554,5481,"PPAT"
"ENSG00000128203",4766,7331,"ASPHD2"
"ENSG00000128266",4478,5520,"GNAZ"
"ENSG00000128272",3014,3247,"ATF4"
"ENSG00000128274",3682,4849,"A4GALT"
"ENSG00000128298",4478,5520,"BAIAP2L2"
"ENSG00000128309",4478,5520,"MPST"
"ENSG00000128482",4554,5481,"RNF112"
"ENSG00000128512",4654,6521,"DOCK4"
"ENSG00000128536",3243,3567,"CDHR3"
"ENSG00000128564",3682,4849,"VGF"
"ENSG00000128567",4878,7651,"PODXL"
"ENSG00000128595",4639,6215,"CALU"
"ENSG00000128596",2382,2552,"CCDC136"
"ENSG00000128602",4712,6841,"SMO"
"ENSG00000128604",4654,6521,"IRF5"
"ENSG00000128607",2382,2552,"KLHDC10"
"ENSG00000128683",2413,2718,"GAD1"
"ENSG00000128789",4488,5405,"PSMG2"
"ENSG00000128815",4654,6521,"WDFY4"
"ENSG00000128833",4488,5405,"MYO5C"
"ENSG00000128944",4639,6215,"KNSTRN"
"ENSG00000128989",2440,2757,"ARPP19"
"ENSG00000129009",4478,5520,"ISLR"
"ENSG00000129028",4639,6215,"THAP10"
"ENSG00000129038",4488,5405,"LOXL1"
"ENSG00000129116",4624,6636,"PALLD"
"ENSG00000129245",4639,6215,"FXR2"
"ENSG00000129295",4478,5520,"DNAAF11"
"ENSG00000129450",4639,6215,"SIGLEC9"
"ENSG00000129518",4310,5200,"EAPP"
"ENSG00000129538",4878,7651,"RNASE1"
"ENSG00000129566",2382,2552,"TEP1"
"ENSG00000129636",4950,8238,"ITFG1"
"ENSG00000129654",4826,6917,"FOXJ1"
"ENSG00000129675",4478,5520,"ARHGEF6"
"ENSG00000129691",3243,3567,"ASH2L"
"ENSG00000129757",4310,5200,"CDKN1C"
"ENSG00000129911",4488,5405,"KLF16"
"ENSG00000129946",4554,5481,"SHC2"
"ENSG00000129951",4478,5520,"PLPPR3"
"ENSG00000129968",4488,5405,"ABHD17A"
"ENSG00000129993",4310,5200,"CBFA2T3"
"ENSG00000130037",4310,5200,"KCNA5"
"ENSG00000130038",4639,6215,"CRACR2A"
"ENSG00000130045",4826,6917,"NXNL2"
"ENSG00000130052",4810,7612,"STARD8"
"ENSG00000130066",4950,8238,"SAT1"
"ENSG00000130147",4310,5200,"SH3BP4"
"ENSG00000130158",4554,5481,"DOCK6"
"ENSG00000130164",4809,6802,"LDLR"
"ENSG00000130165",4878,7536,"ELOF1"
"ENSG00000130175",4478,5520,"PRKCSH"
"ENSG00000130177",4639,6215,"CDC16"
"ENSG00000130202",4950,8238,"NECTIN2"
"ENSG00000130208",4878,7651,"APOC1"
"ENSG00000130222",4972,9048,"GADD45G"
"ENSG00000130224",4478,5520,"LRCH2"
"ENSG00000130255",4478,5520,"RPL36"
"ENSG00000130287",3014,3247,"NCAN"
"ENSG00000130303",2595,2833,"BST2"
"ENSG00000130307",4639,6215,"USHBP1"
"ENSG00000130309",3243,3567,"COLGALT1"
"ENSG00000130311",4310,5200,"DDA1"
"ENSG00000130363",4639,6215,"RSPH3"
"ENSG00000130475",4712,6841,"FCHO1"
"ENSG00000130477",4488,5405,"UNC13A"
"ENSG00000130479",4810,7612,"MAP1S"
"ENSG00000130508",4712,6841,"PXDN"
"ENSG00000130511",4654,6521,"SSBP4"
"ENSG00000130522",4926,7918,"JUND"
"ENSG00000130540",4488,5405,"SULT4A1"
"ENSG00000130560",4310,5200,"UBAC1"
"ENSG00000130589",5008,10369,"HELZ2"
"ENSG00000130600",4554,5481,"H19"
"ENSG00000130684",4639,6215,"ZNF337"
"ENSG00000130699",4310,5200,"TAF4"
"ENSG00000130711",4554,5481,"PRDM12"
"ENSG00000130714",4478,5520,"POMT1"
"ENSG00000130720",2440,2757,"FIBCD1"
"ENSG00000130726",4310,5200,"TRIM28"
"ENSG00000130758",4488,5405,"MAP3K10"
"ENSG00000130766",4429,6285,"SESN2"
"ENSG00000130768",4310,5200,"SMPDL3B"
"ENSG00000130772",4554,5481,"MED18"
"ENSG00000130816",4310,5200,"DNMT1"
"ENSG00000130921",3014,3247,"MTRFR"
"ENSG00000130956",4488,5405,"HABP4"
"ENSG00000130962",3243,3567,"PRRG1"
"ENSG00000130997",4639,6215,"POLN"
"ENSG00000131016",3243,3567,"AKAP12"
"ENSG00000131023",4639,6215,"LATS1"
"ENSG00000131094",4950,8238,"C1QL1"
"ENSG00000131095",4488,5405,"GFAP"
"ENSG00000131100",4478,5520,"ATP6V1E1"
"ENSG00000131149",4310,5200,"GSE1"
"ENSG00000131153",4639,6215,"GINS2"
"ENSG00000131165",4310,5200,"CHMP1A"
"ENSG00000131269",4478,5520,"ABCB7"
"ENSG00000131323",4639,6215,"TRAF3"
"ENSG00000131351",4310,5200,"HAUS8"
"ENSG00000131373",4478,5520,"HACL1"
"ENSG00000131374",4810,7612,"TBC1D5"
"ENSG00000131378",2440,2757,"RFTN1"
"ENSG00000131379",4810,7612,"C3orf20"
"ENSG00000131398",4478,5520,"KCNC3"
"ENSG00000131408",4310,5200,"NR1H2"
"ENSG00000131435",3682,4849,"PDLIM4"
"ENSG00000131446",4639,6215,"MGAT1"
"ENSG00000131459",4478,5520,"GFPT2"
"ENSG00000131469",4488,5405,"RPL27"
"ENSG00000131471",4810,7612,"AOC3"
"ENSG00000131473",4478,5520,"ACLY"
"ENSG00000131507",4310,5200,"NDFIP1"
"ENSG00000131584",4727,6597,"ACAP3"
"ENSG00000131652",2876,3528,"THOC6"
"ENSG00000131724",4878,7536,"IL13RA1"
"ENSG00000131732",4478,5520,"ZCCHC9"
"ENSG00000131747",3117,3452,"TOP2A"
"ENSG00000131759",2281,2437,"RARA"
"ENSG00000131779",4310,5200,"PEX11B"
"ENSG00000131791",4972,9048,"PRKAB2"
"ENSG00000131844",3014,3247,"MCCC2"
"ENSG00000131873",2876,3528,"CHSY1"
"ENSG00000131876",3243,3567,"SNRPA1"
"ENSG00000131941",3840,4964,"RHPN2"
"ENSG00000131943",4478,5520,"C19orf12"
"ENSG00000131981",3360,4154,"LGALS3"
"ENSG00000132002",3117,3452,"DNAJB1"
"ENSG00000132003",4478,5520,"ZSWIM4"
"ENSG00000132005",4310,5200,"RFX1"
"ENSG00000132016",4878,7651,"BRME1"
"ENSG00000132024",4310,5200,"CC2D1A"
"ENSG00000132109",4478,5520,"TRIM21"
"ENSG00000132155",4639,6215,"RAF1"
"ENSG00000132170",4639,6215,"PPARG"
"ENSG00000132205",3117,3452,"EMILIN2"
"ENSG00000132256",3243,3567,"TRIM5"
"ENSG00000132313",2281,2437,"MRPL35"
"ENSG00000132321",4488,5405,"IQCA1"
"ENSG00000132329",4927,8033,"RAMP1"
"ENSG00000132341",4310,5200,"RAN"
"ENSG00000132356",4478,5520,"PRKAA1"
"ENSG00000132359",4478,5520,"RAP1GAP2"
"ENSG00000132376",4310,5200,"INPP5K"
"ENSG00000132432",4310,5200,"SEC61G"
"ENSG00000132434",4554,5481,"LANCL2"
"ENSG00000132437",4639,6215,"DDC"
"ENSG00000132463",4639,6215,"GRSF1"
"ENSG00000132471",4488,5405,"WBP2"
"ENSG00000132535",4488,5405,"DLG4"
"ENSG00000132561",4478,5520,"MATN2"
"ENSG00000132589",4488,5405,"FLOT2"
"ENSG00000132613",4554,5481,"MTSS2"
"ENSG00000132622",4478,5520,"HSPA12B"
"ENSG00000132639",2440,2757,"SNAP25"
"ENSG00000132640",4310,5200,"BTBD3"
"ENSG00000132680",4478,5520,"KHDC4"
"ENSG00000132688",4554,5481,"NES"
"ENSG00000132692",4488,5405,"BCAN"
"ENSG00000132718",4878,7536,"SYT11"
"ENSG00000132744",4972,9048,"ACY3"
"ENSG00000132792",4766,7331,"CTNNBL1"
"ENSG00000132823",4310,5200,"OSER1"
"ENSG00000132824",4654,6521,"SERINC3"
"ENSG00000132854",4810,7612,"KANK4"
"ENSG00000132872",4488,5405,"SYT4"
"ENSG00000132881",4310,5200,"CPLANE2"
"ENSG00000132963",4310,5200,"POMP"
"ENSG00000132975",3360,4154,"GPR12"
"ENSG00000133027",4488,5405,"PEMT"
"ENSG00000133048",4429,6285,"CHI3L1"
"ENSG00000133067",3672,4644,"LGR6"
"ENSG00000133069",4488,5405,"TMCC2"
"ENSG00000133083",4950,8238,"DCLK1"
"ENSG00000133131",4478,5520,"MORC4"
"ENSG00000133250",4310,5200,"ZNF414"
"ENSG00000133265",4878,7536,"HSPBP1"
"ENSG00000133302",4727,6597,"SLF1"
"ENSG00000133313",4478,5520,"CNDP2"
"ENSG00000133315",3682,4849,"MACROD1"
"ENSG00000133316",2876,3528,"WDR74"
"ENSG00000133321",5008,10369,"PLAAT4"
"ENSG00000133398",4310,5200,"MED10"
"ENSG00000133401",4488,5405,"PDZD2"
"ENSG00000133424",2440,2757,"LARGE1"
"ENSG00000133433",4639,6215,"GSTT2B"
"ENSG00000133466",4554,5481,"C1QTNF6"
"ENSG00000133561",4766,7331,"GIMAP6"
"ENSG00000133574",3877,4568,"GIMAP4"
"ENSG00000133597",4310,5200,"ADCK2"
"ENSG00000133619",4878,7651,"KRBA1"
"ENSG00000133639",3243,3567,"BTG1"
"ENSG00000133641",4478,5520,"RLIG1"
"ENSG00000133703",4727,6597,"KRAS"
"ENSG00000133789",4478,5520,"SWAP70"
"ENSG00000133794",4810,7612,"BMAL1"
"ENSG00000133805",4478,5520,"AMPD3"
"ENSG00000133808",4639,6215,NA
"ENSG00000133812",4478,5520,"SBF2"
"ENSG00000133818",4639,6215,"RRAS2"
"ENSG00000134042",4639,6215,"MRO"
"ENSG00000134046",2281,2437,"MBD2"
"ENSG00000134058",4310,5200,"CDK7"
"ENSG00000134061",3243,3567,"CD180"
"ENSG00000134070",4478,5520,"IRAK2"
"ENSG00000134107",2440,2757,"BHLHE40"
"ENSG00000134146",4310,5200,"DPH6"
"ENSG00000134152",4639,6215,"KATNBL1"
"ENSG00000134153",4639,6215,"EMC7"
"ENSG00000134186",4624,6636,"PRPF38B"
"ENSG00000134243",4478,5520,"SORT1"
"ENSG00000134324",4478,5520,"LPIN1"
"ENSG00000134339",4310,5200,"SAA2"
"ENSG00000134352",4478,5520,"IL6ST"
"ENSG00000134363",4478,5520,"FST"
"ENSG00000134375",4624,6636,"TIMM17A"
"ENSG00000134419",4488,5405,"RPS15A"
"ENSG00000134463",4488,5405,"ECHDC3"
"ENSG00000134516",2413,2718,"DOCK2"
"ENSG00000134531",3840,4964,"EMP1"
"ENSG00000134640",4488,5405,"MTNR1B"
"ENSG00000134668",4554,5481,"SPOCD1"
"ENSG00000134686",3117,3452,"PHC2"
"ENSG00000134717",4310,5200,"BTF3L4"
"ENSG00000134755",4429,6285,"DSC2"
"ENSG00000134769",3117,3452,"DTNA"
"ENSG00000134780",4712,6841,"DAGLA"
"ENSG00000134817",4488,5405,"APLNR"
"ENSG00000134871",4809,6802,"COL4A2"
"ENSG00000134874",4639,6215,"DZIP1"
"ENSG00000134900",4488,5405,"TPP2"
"ENSG00000134910",4639,6215,"STT3A"
"ENSG00000134917",3117,3452,"ADAMTS8"
"ENSG00000134987",4310,5200,"WDR36"
"ENSG00000135048",4639,6215,"CEMIP2"
"ENSG00000135052",4478,5520,"GOLM1"
"ENSG00000135063",4639,6215,"ENTREP1"
"ENSG00000135070",4478,5520,"ISCA1"
"ENSG00000135097",4554,5481,"MSI1"
"ENSG00000135111",2364,2513,"TBX3"
"ENSG00000135185",4310,5200,"TMEM243"
"ENSG00000135245",2876,3528,"HILPDA"
"ENSG00000135269",4488,5405,"TES"
"ENSG00000135299",4478,5520,"ANKRD6"
"ENSG00000135324",4554,5481,"MRAP2"
"ENSG00000135333",4488,5405,"EPHA7"
"ENSG00000135363",4907,8728,"LMO2"
"ENSG00000135404",4712,6841,"CD63"
"ENSG00000135424",4488,5405,"ITGA7"
"ENSG00000135426",4478,5520,"TESPA1"
"ENSG00000135439",4488,5405,"AGAP2"
"ENSG00000135473",4639,6215,"PAN2"
"ENSG00000135476",3014,3247,"ESPL1"
"ENSG00000135519",4654,6521,"KCNH3"
"ENSG00000135525",4310,5200,"MAP7"
"ENSG00000135537",4639,6215,"AFG1L"
"ENSG00000135540",4878,7651,"NHSL1"
"ENSG00000135547",3682,4849,"HEY2"
"ENSG00000135577",4310,5200,"NMBR"
"ENSG00000135596",4907,8728,"MICAL1"
"ENSG00000135597",4310,5200,"REPS1"
"ENSG00000135617",4639,6215,"PRADC1"
"ENSG00000135622",3243,3567,"SEMA4F"
"ENSG00000135625",4554,5481,"EGR4"
"ENSG00000135643",4639,6215,"KCNMB4"
"ENSG00000135679",4310,5200,"MDM2"
"ENSG00000135709",4478,5520,"KIAA0513"
"ENSG00000135723",4624,6636,"FHOD1"
"ENSG00000135749",2440,2757,"PCNX2"
"ENSG00000135750",3243,3567,"KCNK1"
"ENSG00000135766",4310,5200,"EGLN1"
"ENSG00000135823",2281,2437,"STX6"
"ENSG00000135824",4488,5405,"RGS8"
"ENSG00000135829",4878,7651,"DHX9"
"ENSG00000135838",4488,5405,"NPL"
"ENSG00000135842",2440,2757,"NIBAN1"
"ENSG00000135862",4639,6215,"LAMC1"
"ENSG00000135899",3243,3567,"SP110"
"ENSG00000135900",4310,5200,"MRPL44"
"ENSG00000135917",4639,6215,"SLC19A3"
"ENSG00000135926",2876,3528,"TMBIM1"
"ENSG00000135930",4310,5200,"EIF4E2"
"ENSG00000135931",4488,5405,"ARMC9"
"ENSG00000135940",4310,5200,"COX5B"
"ENSG00000135953",4654,6521,"MFSD9"
"ENSG00000136002",4478,5520,"ARHGEF4"
"ENSG00000136021",3243,3567,"SCYL2"
"ENSG00000136099",4488,5405,"PCDH8"
"ENSG00000136100",2440,2757,"VPS36"
"ENSG00000136111",4639,6215,"TBC1D4"
"ENSG00000136143",4554,5481,"SUCLA2"
"ENSG00000136147",4624,6636,"PHF11"
"ENSG00000136158",4639,6215,"SPRY2"
"ENSG00000136160",4810,7612,"EDNRB"
"ENSG00000136161",2876,3528,"RCBTB2"
"ENSG00000136167",3117,3452,"LCP1"
"ENSG00000136205",4639,6215,"TNS3"
"ENSG00000136235",4639,6215,"GPNMB"
"ENSG00000136237",4809,6802,"RAPGEF5"
"ENSG00000136267",4488,5405,"DGKB"
"ENSG00000136274",4488,5405,"NACAD"
"ENSG00000136280",4488,5405,"CCM2"
"ENSG00000136286",2876,3528,"MYO1G"
"ENSG00000136295",4488,5405,"TTYH3"
"ENSG00000136297",4810,7612,"MMD2"
"ENSG00000136352",4810,7612,"NKX2-1"
"ENSG00000136383",4810,7612,"ALPK3"
"ENSG00000136444",4639,6215,"RSAD1"
"ENSG00000136478",4310,5200,"TEX2"
"ENSG00000136531",3257,3873,"SCN2A"
"ENSG00000136542",4310,5200,"GALNT5"
"ENSG00000136546",2413,2718,"SCN7A"
"ENSG00000136636",4310,5200,"KCTD3"
"ENSG00000136682",4488,5405,"ZNG1B"
"ENSG00000136710",4310,5200,"VMA22"
"ENSG00000136715",4766,7331,"SAP130"
"ENSG00000136750",4712,6841,"GAD2"
