"GO_term","count.all_terms","count.Freq"
"regulation of neuron projection development","regulation of neuron projection development",4
"regulation of non-canonical NF-kappaB signal transduction","regulation of non-canonical NF-kappaB signal transduction",2
"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",2
"regulation of phosphorylation","regulation of phosphorylation",4
"regulation of platelet aggregation","regulation of platelet aggregation",2
"regulation of post-translational protein modification","regulation of post-translational protein modification",2
"regulation of postsynapse organization","regulation of postsynapse organization",2
"regulation of postsynaptic membrane neurotransmitter receptor levels","regulation of postsynaptic membrane neurotransmitter receptor levels",2
"regulation of postsynaptic membrane potential","regulation of postsynaptic membrane potential",2
"regulation of production of molecular mediator of immune response","regulation of production of molecular mediator of immune response",2
"regulation of protein kinase activity","regulation of protein kinase activity",3
"regulation of protein localization to cell periphery","regulation of protein localization to cell periphery",2
"regulation of protein localization to membrane","regulation of protein localization to membrane",2
"regulation of protein localization to nucleus","regulation of protein localization to nucleus",2
"regulation of protein modification by small protein conjugation or removal","regulation of protein modification by small protein conjugation or removal",2
"regulation of protein phosphorylation","regulation of protein phosphorylation",4
"regulation of protein serine/threonine kinase activity","regulation of protein serine/threonine kinase activity",4
"regulation of protein-containing complex assembly","regulation of protein-containing complex assembly",2
"regulation of reactive oxygen species metabolic process","regulation of reactive oxygen species metabolic process",2
"regulation of receptor-mediated endocytosis","regulation of receptor-mediated endocytosis",2
"regulation of regulated secretory pathway","regulation of regulated secretory pathway",2
"regulation of regulatory T cell differentiation","regulation of regulatory T cell differentiation",2
"regulation of response to cytokine stimulus","regulation of response to cytokine stimulus",2
"regulation of small GTPase mediated signal transduction","regulation of small GTPase mediated signal transduction",4
"regulation of stem cell differentiation","regulation of stem cell differentiation",2
"regulation of substrate adhesion-dependent cell spreading","regulation of substrate adhesion-dependent cell spreading",2
"regulation of supramolecular fiber organization","regulation of supramolecular fiber organization",4
"regulation of synapse assembly","regulation of synapse assembly",2
"regulation of synapse organization","regulation of synapse organization",4
"regulation of synapse pruning","regulation of synapse pruning",2
"regulation of synapse structure or activity","regulation of synapse structure or activity",4
"regulation of synaptic plasticity","regulation of synaptic plasticity",2
"regulation of synaptic vesicle exocytosis","regulation of synaptic vesicle exocytosis",2
"regulation of T cell activation","regulation of T cell activation",3
"regulation of T cell differentiation","regulation of T cell differentiation",3
"regulation of T cell proliferation","regulation of T cell proliferation",2
"regulation of T-helper cell differentiation","regulation of T-helper cell differentiation",3
"regulation of transcription elongation by RNA polymerase II","regulation of transcription elongation by RNA polymerase II",2
"regulation of transferase activity","regulation of transferase activity",4
"regulation of transmembrane transport","regulation of transmembrane transport",3
"regulation of transporter activity","regulation of transporter activity",2
"regulation of tumor necrosis factor production","regulation of tumor necrosis factor production",3
"regulation of tumor necrosis factor superfamily cytokine production","regulation of tumor necrosis factor superfamily cytokine production",3
"regulation of type I interferon production","regulation of type I interferon production",3
"regulation of type II interferon production","regulation of type II interferon production",2
"regulation of vasculature development","regulation of vasculature development",3
"regulation of viral genome replication","regulation of viral genome replication",2
"regulation of viral life cycle","regulation of viral life cycle",3
"regulation of viral process","regulation of viral process",2
"renal system development","renal system development",3
"renal system vasculature development","renal system vasculature development",3
"response to alcohol","response to alcohol",2
"response to cadmium ion","response to cadmium ion",2
"response to calcium ion","response to calcium ion",3
"response to copper ion","response to copper ion",2
"response to decreased oxygen levels","response to decreased oxygen levels",3
"response to hydrogen peroxide","response to hydrogen peroxide",2
"response to hypoxia","response to hypoxia",3
"response to isoquinoline alkaloid","response to isoquinoline alkaloid",2
"response to ketone","response to ketone",2
"response to leukemia inhibitory factor","response to leukemia inhibitory factor",2
"response to lipopolysaccharide","response to lipopolysaccharide",3
"response to mechanical stimulus","response to mechanical stimulus",4
"response to metal ion","response to metal ion",4
"response to molecule of bacterial origin","response to molecule of bacterial origin",3
"response to morphine","response to morphine",2
"response to nicotine","response to nicotine",2
"response to nutrient","response to nutrient",2
"response to oxidative stress","response to oxidative stress",2
"response to oxygen levels","response to oxygen levels",4
"response to peptide hormone","response to peptide hormone",3
"response to reactive oxygen species","response to reactive oxygen species",2
"response to temperature stimulus","response to temperature stimulus",3
"response to toxic substance","response to toxic substance",2
"response to transforming growth factor beta","response to transforming growth factor beta",2
"response to tumor necrosis factor","response to tumor necrosis factor",2
"response to type II interferon","response to type II interferon",2
"response to virus","response to virus",3
"response to xenobiotic stimulus","response to xenobiotic stimulus",2
"response to zinc ion","response to zinc ion",2
"RNA splicing","RNA splicing",2
"signal release from synapse","signal release from synapse",3
"signal transduction involved in regulation of gene expression","signal transduction involved in regulation of gene expression",2
"stress response to copper ion","stress response to copper ion",2
"stress response to metal ion","stress response to metal ion",2
"striated muscle tissue development","striated muscle tissue development",2
"substrate adhesion-dependent cell spreading","substrate adhesion-dependent cell spreading",2
"symbiont entry into host","symbiont entry into host",3
"symbiont entry into host cell","symbiont entry into host cell",3
"synapse assembly","synapse assembly",3
"synapse pruning","synapse pruning",2
"synaptic transmission, GABAergic","synaptic transmission, GABAergic",2
"synaptic vesicle cycle","synaptic vesicle cycle",3
"synaptic vesicle exocytosis","synaptic vesicle exocytosis",3
"T cell activation involved in immune response","T cell activation involved in immune response",3
"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",2
"T cell differentiation","T cell differentiation",4
"T cell differentiation involved in immune response","T cell differentiation involved in immune response",3
"T cell mediated immunity","T cell mediated immunity",3
"T cell proliferation","T cell proliferation",2
"T cell selection","T cell selection",2
"T-helper 1 type immune response","T-helper 1 type immune response",2
"T-helper cell differentiation","T-helper cell differentiation",3
"taxis","taxis",3
"telencephalon development","telencephalon development",3
"temperature homeostasis","temperature homeostasis",2
"tissue homeostasis","tissue homeostasis",2
"toll-like receptor signaling pathway","toll-like receptor signaling pathway",2
"tumor necrosis factor production","tumor necrosis factor production",3
"tumor necrosis factor superfamily cytokine production","tumor necrosis factor superfamily cytokine production",3
"type I interferon production","type I interferon production",3
"type II interferon production","type II interferon production",2
"vacuole organization","vacuole organization",2
"vascular endothelial growth factor signaling pathway","vascular endothelial growth factor signaling pathway",2
"vascular process in circulatory system","vascular process in circulatory system",3
"vesicle-mediated transport in synapse","vesicle-mediated transport in synapse",3
"viral life cycle","viral life cycle",3
"viral process","viral process",3
"wound healing","wound healing",4
