"GO_term","count","disorders"
"telencephalon development",3,"ASD;MDD;OCD"
"temperature homeostasis",2,"BD;SZ"
"tissue homeostasis",2,"MDD;SZ"
"toll-like receptor signaling pathway",2,"BD;SZ"
"tumor necrosis factor production",3,"BD;OCD;SZ"
"tumor necrosis factor superfamily cytokine production",3,"BD;OCD;SZ"
"type I interferon production",3,"ASD;BD;SZ"
"type II interferon production",2,"BD;SZ"
"vacuole organization",2,"ASD;MDD"
"vascular endothelial growth factor signaling pathway",2,"OCD;SZ"
"vascular process in circulatory system",3,"BD;OCD;SZ"
"vesicle-mediated transport in synapse",3,"ASD;MDD;OCD"
"viral life cycle",3,"ASD;BD;SZ"
"viral process",3,"ASD;BD;SZ"
"wound healing",4,"ASD;BD;OCD;SZ"
