"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002263","cell activation involved in immune response","68/2044","329/18860",0.206686930091185,1.90710151737757,5.78685820510227,1.11259739673547e-07,5.86780254753153e-05,4.9400698126699e-05,"ITGAL/ST3GAL1/TYROBP/SLC11A1/CD74/RC3H2/SBNO2/CD84/RAB27A/FCGR2B/MLH1/IL4R/ITM2A/LAT2/ICAM1/SNAP23/TREM2/PYCARD/LILRB1/IL27RA/NKG7/JAK3/KMT5B/MDK/CD69/BCL6/CD46/TNFSF4/NR4A3/NCKAP1L/FGL2/CRACR2A/CD180/LCP1/TLR4/GPR65/IRF8/HSPD1/NFKBIZ/IL6R/F2RL1/SYK/CLEC4E/NFKBID/PTGDR/CX3CR1/STAT3/IL12A/GPR183/ADORA2B/JUNB/PTGER4/MALT1/CCL19/MYD88/ATAD5/TCIM/PTPN11/GATA2/SOCS3/IFNA2/HLA-DRB1/PLCG2/SH2D1B/CR1/FCGR3A/HLA-DRA/MILR1",68
"GO:0070661","leukocyte proliferation","72/2044","356/18860",0.202247191011236,1.86613601882187,5.75197136242901,1.17571598881914e-07,5.86780254753153e-05,4.9400698126699e-05,"TAC1/PHF7/CD4/TYROBP/BID/SLC11A1/CD74/RC3H2/NCK2/FCGR2B/ARG2/TREM2/CSF2RB/TNFSF13B/PYCARD/IL4I1/LILRB1/DOCK8/TCIRG1/BCL6/IL1A/CD46/TNFSF4/TNFAIP3/HELLS/NCKAP1L/BTN2A2/CDKN1A/IRF1/TNFSF14/CD180/GPNMB/TLR4/MYC/LRRC32/SLC7A1/ERBB2/HSPD1/NFKBIZ/TNFRSF21/CDKN2A/TNFRSF13C/WNT4/VCAM1/TGFBR2/PRKCD/F2RL1/SYK/GREM1/IGF2/IL12A/INPP5D/PTK2/GPR183/JUNB/MALT1/CEBPB/CCL19/MYD88/ATAD5/PTPN11/LILRB4/HLA-DRB1/SLC39A10/CSF2RA/CR1/FCGR3A/EMP2/HLA-DPB1/HLA-DPA1/RASSF5/CCL5",72
"GO:0071219","cellular response to molecule of bacterial origin","55/2044","247/18860",0.222672064777328,2.0545964489728,5.81654402048032,1.43617598400176e-07,6.21049193814812e-05,5.22857807449262e-05,"UPF1/SBNO2/FCGR2B/ABCB1/TREM2/MMP9/SLC7A5/PYCARD/LILRB1/SERPINE1/CCL2/NFKB1/PLSCR4/IL1A/GBP3/TNFSF4/MMP8/TNFAIP3/TRIM5/CD180/EDNRB/TLR4/TLR2/CASP1/IRF8/NFKBIZ/TNIP1/CCL28/GBP5/LY96/SPON2/CCR5/GBP2/HMGB2/CASP7/B2M/NOD2/CX3CR1/TNIP2/CXCL10/PTAFR/CXCL8/CD14/MALT1/CEBPB/MYD88/TRIB1/TLR1/PTPN11/IRAK1/FCAR/TLR5/ARID5A/PLCG2/CARD16",55
"GO:0002366","leukocyte activation involved in immune response","67/2044","325/18860",0.206153846153846,1.90218274875809,5.71976690241794,1.52365218769202e-07,6.21049193814812e-05,5.22857807449262e-05,"ITGAL/ST3GAL1/TYROBP/SLC11A1/CD74/RC3H2/SBNO2/CD84/RAB27A/FCGR2B/MLH1/IL4R/ITM2A/LAT2/ICAM1/SNAP23/TREM2/PYCARD/LILRB1/IL27RA/NKG7/JAK3/KMT5B/MDK/CD69/BCL6/CD46/TNFSF4/NR4A3/NCKAP1L/FGL2/CRACR2A/CD180/LCP1/TLR4/GPR65/IRF8/HSPD1/NFKBIZ/IL6R/F2RL1/SYK/CLEC4E/NFKBID/PTGDR/CX3CR1/STAT3/IL12A/GPR183/ADORA2B/JUNB/PTGER4/MALT1/CCL19/MYD88/ATAD5/PTPN11/GATA2/SOCS3/IFNA2/HLA-DRB1/PLCG2/SH2D1B/CR1/FCGR3A/HLA-DRA/MILR1",67
"GO:0071222","cellular response to lipopolysaccharide","52/2044","229/18860",0.22707423580786,2.09521530691597,5.81349883590719,1.61783050847302e-07,6.21049193814812e-05,5.22857807449262e-05,"UPF1/SBNO2/ABCB1/MMP9/SLC7A5/PYCARD/LILRB1/SERPINE1/CCL2/NFKB1/PLSCR4/IL1A/GBP3/TNFSF4/MMP8/TNFAIP3/TRIM5/CD180/EDNRB/TLR4/TLR2/CASP1/IRF8/NFKBIZ/TNIP1/CCL28/GBP5/LY96/SPON2/CCR5/GBP2/HMGB2/CASP7/B2M/NOD2/CX3CR1/TNIP2/CXCL10/PTAFR/CXCL8/CD14/MALT1/CEBPB/MYD88/TRIB1/PTPN11/IRAK1/FCAR/TLR5/ARID5A/PLCG2/CARD16",52
"GO:0007249","canonical NF-kappaB signal transduction","72/2044","359/18860",0.200557103064067,1.85054156741111,5.67261870311876,1.65917300067407e-07,6.21049193814812e-05,5.22857807449262e-05,"CASP10/CFLAR/CD4/ZMYND11/CD74/CUL1/TNFRSF1A/TGFBR3/EDN1/ZFAND6/TREM2/HMOX1/TLR8/PYCARD/IKBKB/ZC3HAV1/CAV1/NOD1/NFKB1/BIRC2/LTBR/VEGFA/IL1A/IL1R1/TNFAIP3/TNFRSF10B/TRIM25/TNFSF10/TNFSF14/TRAF2/TRAF3/TRIM5/EDNRB/KLF4/TLR4/TLR2/CASP1/SLC39A8/PELI2/CARD14/SECTM1/SLC20A1/TIFA/TNIP1/LURAP1L/S100B/S100A12/CCR1/F2RL1/CASP7/TERF2IP/C15orf39/NOD2/CX3CR1/STAT3/TNIP2/MALT1/CCL19/MYD88/TNFSF15/TRIM52/IRAK1/TMEM106A/ROR1/LILRB4/HLA-DRB1/S100A4/TLR7/PLCG2/CARD16/NUP62/IKBKE",72
"GO:0032613","interleukin-10 production","23/2044","67/18860",0.343283582089552,3.16747962730379,6.19630511982191,2.60226675937446e-07,8.65831978994092e-05,7.28939051310156e-05,"TYROBP/HGF/TRIB2/FCGR2B/TREM2/PYCARD/LILRB1/JAK3/CD83/CD46/TNFSF4/TLR4/HSPD1/TNFRSF21/RBM47/F2RL1/SYK/NOD2/STAT3/LILRB4/LILRA5/HLA-DRB1/PLCG2",23
"GO:0032653","regulation of interleukin-10 production","23/2044","67/18860",0.343283582089552,3.16747962730379,6.19630511982191,2.60226675937446e-07,8.65831978994092e-05,7.28939051310156e-05,"TYROBP/HGF/TRIB2/FCGR2B/TREM2/PYCARD/LILRB1/JAK3/CD83/CD46/TNFSF4/TLR4/HSPD1/TNFRSF21/RBM47/F2RL1/SYK/NOD2/STAT3/LILRB4/LILRA5/HLA-DRB1/PLCG2",23
"GO:0071496","cellular response to external stimulus","25/2044","78/18860",0.320512820512821,2.95737367655176,6.03932711398368,3.58991343469853e-07,0.000113022401750636,9.51529214763115e-05,"MAP3K14/TNFRSF1A/ABCB1/TLR8/COL1A1/NFKB1/LTBR/SLC2A1/TNFRSF10B/IRF1/TNFSF14/SLC38A2/TLR4/CASP1/CASP5/CHEK1/BAG3/PTGER4/MYD88/BNIP3/PTPN11/TLR5/TLR7/ITGB3/PECAM1",25
"GO:0002285","lymphocyte activation involved in immune response","52/2044","235/18860",0.221276595744681,2.04172044801599,5.60241667686515,3.83282798782924e-07,0.000113022401750636,9.51529214763115e-05,"ITGAL/ST3GAL1/TYROBP/SLC11A1/CD74/RC3H2/RAB27A/FCGR2B/MLH1/IL4R/ITM2A/ICAM1/TREM2/LILRB1/IL27RA/NKG7/JAK3/KMT5B/MDK/CD69/BCL6/CD46/TNFSF4/NCKAP1L/FGL2/CRACR2A/CD180/LCP1/TLR4/GPR65/IRF8/HSPD1/NFKBIZ/IL6R/F2RL1/CLEC4E/NFKBID/STAT3/IL12A/GPR183/JUNB/PTGER4/MALT1/CCL19/ATAD5/SOCS3/IFNA2/HLA-DRB1/PLCG2/CR1/FCGR3A/HLA-DRA",52
"GO:1903037","regulation of leukocyte cell-cell adhesion","77/2044","401/18860",0.192019950124688,1.77176920711919,5.44620487635597,3.96304965230149e-07,0.000113022401750636,9.51529214763115e-05,"SELE/CD4/CD74/RUNX3/RC3H2/NCK2/IL4R/ARG2/TNFSF13B/PYCARD/IL4I1/LILRB1/JAK3/CAV1/DOCK8/MAP3K8/CCL2/MDK/CD69/CD83/VNN1/BCL6/IL1A/CD46/TNFSF4/NR4A3/HSPH1/NCKAP1L/BTN2A2/IRF1/TNFSF14/FGL2/GPNMB/KLF4/LRRC32/SLC7A1/GPR65/ERBB2/HSPD1/NFKBIZ/TNFRSF21/CDKN2A/CCL28/RUNX1/TNFRSF13C/VCAM1/TNFAIP8L2/DAPL1/TGFBR2/PBRM1/SYK/B2M/NOD2/IGF2/NFKBID/IL12A/SOCS6/MALT1/CEBPB/CCL19/PTPN11/HLA-DQB1/EGR3/KLHL25/IRAK1/LILRB4/IFNA2/HLA-DRB1/HLA-DQA1/NRARP/HLA-DRB5/CR1/HLA-DOA/HLA-DRA/HLA-DPB1/HLA-DPA1/CCL5",77
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","77/2044","402/18860",0.191542288557214,1.76736182103183,5.4219975883319,4.39248835839521e-07,0.000119575512629222,0.000100669948501019,"CD4/KDM5D/SLC11A1/CD74/RC3H2/RAB27A/FCGR2B/MLH1/IL4R/ICAM1/TREM2/CSF2RB/TLR8/TNFSF13B/GFUS/IL4I1/LILRB1/IL27RA/JAK3/KMT5B/TCIRG1/CD69/BTN3A3/C7/BCL6/IL1R1/IL1RL1/PLA2G4A/CD46/TNFSF4/TNFAIP3/NCKAP1L/C3/TRAF2/CRACR2A/MYO1G/TLR4/C1RL/SECTM1/FCGR2A/HSPD1/NFKBIZ/FCGR1A/C1QC/C1R/AIRE/IL6R/FCGR3B/PRKCD/C2/B2M/NFKBID/STAT3/IL12A/INPP5D/JUNB/MALT1/KLHL6/CCL19/MYD88/C1QB/C1QA/ATAD5/PRF1/C1S/SOCS3/LILRB4/IFNA2/HLA-DRB1/ARID5A/CR1/FCGR3A/HLA-DRA/MICA/CFI/EMP2/HLA-B",77
