"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","23/1066","109/9376",0.211009174311927,1.8559305988261,3.21918509652429,0.00231865378042744,0.0170260499662463,0.0122571079611816,"920/3566/3551/9466/3718/7046/4790/5602/3554/4794/861/3570/7048/6774/2353/3119/3123/3117/3127/3111/3122/3115/3113",23
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","36/1066","196/9376",0.183673469387755,1.6154994830953,3.11887605611353,0.00234842068499949,0.0170260499662463,0.0122571079611816,"637/7132/5743/3383/285/3551/4790/5602/595/9976/1871/7422/59345/1026/718/7186/7187/5894/4609/23533/3454/3455/808/1234/1230/6850/2786/6774/3576/2353/3440/5336/4277/100507436/3106/9641",36
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","41/1066","233/9376",0.175965665236052,1.54770551337075,3.0321064339857,0.00279124605426783,0.0198235434058205,0.0142710324579107,"3674/2273/23224/483/50509/4625/1299/1832/10398/6640/8736/1277/8572/4629/1824/1837/22801/57159/84665/8515/22989/7273/72/25802/2200/165904/1281/6645/171024/8557/1674/4703/71/752/85301/6709/7169/64423/1302/343263/3690",41
"Human Diseases","Immune disease","hsa05330","Allograft rejection","11/1066","39/9376",0.282051282051282,2.48078125751672,3.31881666065324,0.00321896893859104,0.0224040238125936,0.0161287285765193,"3592/3119/5551/3123/3117/3127/3111/3122/3115/3113/3106",11
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","20/1066","93/9376",0.21505376344086,1.89150477112712,3.09445876185585,0.00345145817370269,0.023551126361736,0.0169545313795921,"920/864/4854/3566/3551/3718/4790/5602/4794/3592/2353/4094/3119/3123/3117/3127/3111/3122/3115/3113",20
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","12/1066","45/9376",0.266666666666667,2.34546591619762,3.24025053777852,0.00355129200173817,0.0237663387808632,0.0171094634901556,"10060/5243/10057/10058/9429/5826/26154/10350/23460/21/6890/154664",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","21/1066","100/9376",0.21,1.84705440900563,3.04996366851284,0.00373504936070237,0.0245244750476307,0.0176552482194074,"7132/6347/4055/8807/8795/8743/7852/8740/56477/3570/1234/1230/1524/3627/3576/6363/8793/3579/3588/6352/6351",21
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","16/1066","70/9376",0.228571428571429,2.01039935674082,3.03895511479069,0.00453375716485113,0.0292175461734851,0.0210338051702645,"7132/5106/3551/4790/5602/5564/6513/7186/5565/4794/6774/3667/5781/9021/51703/1375",16
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","36/1066","204/9376",0.176470588235294,1.5521465621896,2.85562491068008,0.00466421238462719,0.0295117438154593,0.0212455989960052,"3082/5566/4313/5829/7042/4318/857/1277/595/7422/1839/5328/1026/6237/2002/5894/22800/7099/4609/7097/51196/3480/8826/2064/8324/54361/3481/6774/5747/3316/60495/5781/71/5336/388112/3690",36
"Human Diseases","Infectious disease: viral","hsa05162","Measles","26/1066","136/9376",0.191176470588235,1.68149210903874,2.86720026918209,0.00521266659559971,0.0320584212437822,0.0230789602420452,"637/2213/4938/3551/3718/4790/5602/595/3552/4179/7128/1017/7187/7099/7097/3454/3455/6774/3592/2353/4615/3654/3440/51284/3304/9641",26
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","16/1066","71/9376",0.225352112676056,1.98208387284306,2.97497481612046,0.00525094830717122,0.0320584212437822,0.0230789602420452,"5315/2261/8140/3945/6513/5894/3939/4609/3417/9123/2064/23410/5163/80201/3101/4914",16
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","29/1066","157/9376",0.184713375796178,1.62464597698402,2.82686842278853,0.00547832741996435,0.0328699645197861,0.0236631928484849,"7042/4616/5054/7046/4790/595/1871/3552/7043/1017/1026/6237/10912/5894/22800/4609/85417/1029/1111/808/204851/7048/3576/5481/5883/11200/1978/3106/83593",29
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","22/1066","110/9376",0.2,1.75909943714822,2.8682208777617,0.00563556076847397,0.0332402567360838,0.0239297674022624,"8454/4756/7042/57817/7036/7046/653/3398/3399/60436/7043/2331/3397/4609/2615/4091/7048/2200/26585/4086/3400/79875",22
"Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","9/1066","31/9376",0.290322580645161,2.55353144102161,3.10295137377876,0.00607218692182709,0.0352186841465971,0.0253540436385061,"4522/10057/9429/2350/7298/6470/6472/9356/1719",9
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","21/1066","105/9376",0.2,1.75909943714822,2.80152019238079,0.00674229969230731,0.0384642670970974,0.0276905492108566,"9020/5743/29108/3551/4790/5602/3659/6237/5894/22800/834/808/5580/6850/26253/3592/10892/5781/1960/5336/9641",21
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","34/1066","195/9376",0.174358974358974,1.53357386828306,2.69668731674648,0.00706929108228101,0.0396792467198999,0.028565216936891,"3683/3674/4689/83933/51311/94239/4790/7450/6404/718/27180/5894/7099/7097/834/2212/2209/2215/79885/6850/71/51284/837/5336/1378/2214/54145/3690/8370/8339/8344/8354/3012/8335",34
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","42/1066","253/9376",0.16600790513834,1.46012206245504,2.65722426487398,0.00725030564137358,0.0400493073523493,0.0288316247727137,"9564/8454/7132/10325/5829/9252/10398/29108/3551/10392/653857/4790/5602/3554/718/7186/81/10095/7099/834/51196/55752/92610/10318/80201/3101/5580/115004/5747/3576/929/5481/10892/4615/664/71/340061/7100/837/5336/6352/8354",42
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","35/1066","203/9376",0.172413793103448,1.51646503202433,2.66438495833242,0.00756699098252339,0.0411070894438615,0.0295931254919511,"3674/3082/9564/5829/3912/1299/10398/2321/857/8395/1277/5602/595/329/7450/7422/3910/6696/2002/81/5894/2012/3915/22801/1950/64098/3480/2064/8515/6464/7148/5747/71/2013/3690",35
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","19/1066","93/9376",0.204301075268817,1.79692953257076,2.76618326060943,0.00767804831566379,0.0411070894438615,0.0295931254919511,"3674/5743/3912/4616/3551/4790/595/329/1871/3910/1017/1026/7186/10912/7187/3915/4609/5747/2272",19
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","15/1066","68/9376",0.220588235294118,1.940183202737,2.78677871974585,0.00830052769958139,0.0437664187796109,0.0315075852073424,"3551/4790/595/5894/8864/4609/5292/1848/597/5371/2209/861/6774/929/1978",15
