"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0095500","acetylcholine receptor signaling pathway","16/1607","47/18860",0.340425531914894,3.99528657866515,6.2747039390141,8.41291915415176e-07,0.000149818465467908,0.000121476648308985,"GNB1/CHRNA3/ACHE/GNAI2/CHRNA2/LARGE1/RGS8/ITPR1/GNAQ/PRKCB/CHRNA7/LY6H/LYNX1/CHRM2/PLCB1/CHRM5",16
"GO:0070372","regulation of ERK1 and ERK2 cascade","52/1607","303/18860",0.171617161716172,2.0141254946901,5.43117865295,8.53354343265859e-07,0.000149818465467908,0.000121476648308985,"IGF1/CD74/CD44/FLT4/LMO3/PDE8A/DLG1/FGF20/ICAM1/ABL1/NRP1/NECAB2/PYCARD/NOD1/PTPN6/PDGFRB/GNAI2/EPHA4/ITGB1BP1/DUSP1/DUSP4/RAMP3/BMP2/CHI3L1/EPHA7/KLF4/EMILIN1/ERBB2/CCN1/EPHB1/BRAF/SHC1/ATF3/NPY5R/BMPER/SYK/WNK2/DENND2B/NPNT/SPRY3/RGS14/GPR183/P2RY6/RASGRP1/HRAS/CHRNA7/JUN/CIB1/C5AR1/TNF/LYN/ITGB3",52
"GO:1903305","regulation of regulated secretory pathway","29/1607","128/18860",0.2265625,2.65897246421904,5.7476067397616,8.57144479965495e-07,0.000149818465467908,0.000121476648308985,"FGR/SPI1/RAB27A/RPH3A/CBARP/DVL1/SYT10/GNAI2/CSPG5/VAMP8/SV2C/PRKCG/SYT11/SYT4/SYT2/ADRA2A/BRAF/KCNB1/SYK/TRPV6/PRKCB/CD300A/ITGAM/CDK5R2/ATP2A2/RPH3AL/CACNB4/SV2B/LYN",29
"GO:0001508","action potential","36/1607","179/18860",0.201117318435754,2.36034388655776,5.58097557662463,9.63620192423333e-07,0.000163475331467582,0.000132549984982566,"NEDD4L/KCNH2/KCNQ2/DLG1/KCNK2/NOS1/DSP/HCN2/CACNA1I/KCNA1/SLC4A3/TACR1/MTNR1B/DSC2/SCN2A/SCN7A/GPD1L/GNA14/KCNB1/SLMAP/KCNV1/CACNB2/ATP2A2/KCNE3/KCNE5/SCN4B/KCNA2/CACNB4/SLC8A1/CTNNA3/KCNQ3/GPRIN3/SCN8A/RYR2/CALM1/TNF",36
"GO:1905144","response to acetylcholine","17/1607","53/18860",0.320754716981132,3.76442685890737,6.15061062142227,1.00237290800273e-06,0.000165191055238851,0.000133941137752065,"GNB1/CHRNA3/ACHE/GNAI2/CHRNA2/LARGE1/ROCK2/RGS8/ITPR1/GNAQ/PRKCB/CHRNA7/LY6H/LYNX1/CHRM2/PLCB1/CHRM5",17
"GO:0022604","regulation of cell morphogenesis","45/1607","249/18860",0.180722891566265,2.120991745451,5.4344073766808,1.08323169846084e-06,0.000173557789908948,0.000140725100475483,"FGR/PAFAH1B1/CDKL5/ZRANB1/CD44/NEDD4L/CAMK2B/WDR1/DLG1/ARHGAP15/BAMBI/PALMD/PALM/COCH/HCK/ARHGEF7/DVL1/DNMBP/EPHA4/RHOQ/BCL11A/RREB1/UNC13A/DLG4/SYT4/MYH10/ANXA1/ITGA7/ITPKA/RNF157/SYT2/FGD2/CFDP1/KIT/F11R/FMNL3/FBLIM1/PDPN/SPRY3/ZNF135/SEMA4D/RELN/LPAR1/ARC/CYFIP1",45
"GO:0070371","ERK1 and ERK2 cascade","55/1607","331/18860",0.166163141993958,1.95011627753954,5.3223045546203,1.1908807509814e-06,0.000185648653288127,0.000150528682122627,"IGF1/CD74/CD44/FLT4/LMO3/PDE8A/DLG1/FGF20/ICAM1/ABL1/NRP1/NECAB2/PYCARD/NOD1/PTPN6/PDGFRB/GNAI2/EPHA4/ITGB1BP1/DUSP1/DUSP4/RAMP3/BMP2/CHI3L1/EPHA7/KLF4/EMILIN1/ERBB2/CCN1/ZFP36L2/EPHB1/BRAF/SHC1/ATF3/NPY5R/BMPER/SYK/WNK2/DENND2B/NPNT/SPRY3/RGS14/GPR183/P2RY6/RASGRP1/HRAS/CHRNA7/JUN/IQGAP3/CIB1/ZFP36L1/C5AR1/TNF/LYN/ITGB3",55
"GO:0099504","synaptic vesicle cycle","41/1607","220/18860",0.186363636363636,2.18719239689993,5.40560677817551,1.42643486629458e-06,0.000216517797599661,0.000175558174818471,"RAB27B/PIK3C3/SYNJ2/RPH3A/STX1B/SLC32A1/DVL1/PPP3CB/ATP6V1A/CSPG5/OTOF/SGIP1/SV2C/ATP8A1/PACSIN1/NAPB/PRKCG/EPS15L1/UNC13A/SNAP25/SYT11/SYT4/ATP6V1G1/UNC13C/SYT2/CPLX2/BRAF/BRSK1/BSN/PRKCB/CPLX1/RAB3B/SNCG/ATP2A2/BRSK2/RPH3AL/SLC2A4/CACNB4/SV2B/LPAR1/PPP3R1",41
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","22/1607","85/18860",0.258823529411765,3.03759288407336,5.74608257449175,1.69724197671007e-06,0.000251017736452915,0.00020353160870507,"MAP2K3/FLT4/PIK3CB/NRP1/HSPB1/SMOC2/PDGFRB/PROX1/NRP2/ITGB1BP1/PGF/NR4A1/ANXA1/CD63/EMILIN1/ITGA5/MAPKAPK2/PIK3CD/RELA/PTP4A3/NR2F2/ITGB3",22
"GO:0007269","neurotransmitter secretion","32/1607","154/18860",0.207792207792208,2.43868141814626,5.47103492595896,1.8154878107028e-06,0.000255408138832531,0.000207091459382607,"CAMK2A/CHRNA3/RPH3A/STX1B/SLC32A1/DVL1/ASIC1/CSPG5/OTOF/SV2C/NAPB/PRKCG/UNC13A/SNAP25/SYT11/SYT4/UNC13C/MYOF/SYT2/CPLX2/GPR158/PTPRN2/BRAF/BRSK1/PRKCB/CPLX1/SNCG/ATP2A2/MCTP1/RPH3AL/CACNB4/SV2B",32
