"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","34/743","212/9376",0.160377358490566,2.02381980243277,4.42331726108808,5.49318918403843e-05,0.000507748838092201,0.000342249909332693,"3683/5606/4254/5291/4804/54518/2533/5155/5332/1268/5228/7010/64411/113/3397/6237/5605/3845/5156/9771/7057/5330/2247/1969/5331/7424/8822/1942/3684/7423/1436/57121/5600/3690",34
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","31/743","187/9376",0.165775401069519,2.09193830474806,4.42470125231883,6.13533734787426e-05,0.000552180361308683,0.000372199135508161,"7205/3710/4792/5332/10392/5599/6347/4940/4939/6772/2633/10616/7186/5330/23710/5331/115362/2634/114548/2919/5580/3576/6773/5970/340061/5600/3665/51393/10379/152138/10628",31
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","20/743","99/9376",0.202020202020202,2.54931549682559,4.54624523108329,7.91070519825527e-05,0.000688892423935068,0.000464350387324653,"5583/5606/5291/3710/5332/3356/5599/3554/5321/113/5330/3358/5331/5580/5581/5734/5600/51393/5336/4914",20
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","30/743","181/9376",0.165745856353591,2.09156547667735,4.35023168141173,8.05722133257389e-05,0.000688892423935068,0.000464350387324653,"9902/972/7132/5599/3587/5869/3552/6772/7043/7097/3687/1520/6850/3592/3684/929/1051/64581/5970/3119/4261/5600/3117/3127/3111/3108/3122/3115/3113/3109",30
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","11/743","37/9376",0.297297297297297,3.75162780546361,4.91971039636656,9.05197077017407e-05,0.000746607361928544,0.000503253346452297,"3383/8542/5332/3910/5330/5331/7412/3592/3040/3039/3043",11
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","20/743","100/9376",0.2,2.52382234185734,4.4942077201248,9.16886233947335e-05,0.000746607361928544,0.000503253346452297,"920/4254/3566/3552/3554/3678/3684/929/3119/1436/3117/1438/3127/3111/3108/3122/3115/3113/3109/3690",20
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","13/743","50/9376",0.26,3.28096904441454,4.74412215077792,9.87968794147869e-05,0.000781511573195426,0.000526780654139115,"4055/942/7852/115650/3119/3117/3127/3111/3108/3122/3115/3113/3109",13
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","17/743","78/9376",0.217948717948718,2.75031921869069,4.55374771638751,0.000100545348598242,0.000781511573195426,0.000526780654139115,"10392/5599/3552/3659/710/715/3678/114548/840/3592/3576/3684/2353/929/5970/716/5600",17
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","16/743","71/9376",0.225352112676056,2.84374348378291,4.5747846863323,0.000105136651398833,0.000799038550631134,0.000538594775587007,"5291/5599/595/6772/8835/3659/6776/5605/25759/3845/6464/2353/5970/7054/9021/5600",16
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","31/743","193/9376",0.160621761658031,2.02690395330511,4.22878263827369,0.00011260650525049,0.000829045932209859,0.000558821357814586,"2268/5291/5829/4792/5332/3718/6347/2784/59345/6772/2185/113/7852/2791/25759/3845/1794/5330/5331/6464/1234/2919/5580/2786/1524/3576/6773/5970/5336/2869/6351",31
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","36/743","238/9376",0.151260504201681,1.90877319972403,4.16598390013006,0.000116357323818928,0.000829045932209859,0.000558821357814586,"4254/5291/5923/4804/5155/64926/10156/5599/5869/2784/59345/5321/5228/7010/6237/5605/5322/2791/25759/3845/5156/9771/2247/1969/7424/8822/6464/2786/1942/10125/5970/7423/627/1436/5336/4914",36
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","36/743","238/9376",0.151260504201681,1.90877319972403,4.16598390013006,0.000116357323818928,0.000829045932209859,0.000558821357814586,"5291/6141/7132/4792/6223/5599/6347/7450/4940/4939/6209/6772/11224/7097/185/6167/4599/715/6159/114548/7098/6850/3592/3576/2353/6773/719/5970/716/340061/5600/9636/5336/10379/629/388524",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","42/743","299/9376",0.140468227424749,1.7725842534784,3.98299217630792,0.000178449215616985,0.00124550268859202,0.000839535514932754,"3683/5291/9423/8832/5829/3383/10398/10627/79784/5599/28964/3384/3736/942/5605/5819/92154/3687/9353/4478/90952/10225/54538/64221/58494/23426/137970/50848/120425/3678/26050/84790/57524/3635/3684/78999/84617/84189/5600/5336/3897/3690",42
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","19/743","99/9376",0.191919191919192,2.42184972198431,4.172215104756,0.000240321469096917,0.00164379884862291,0.00110800845752052,"3075/3683/3383/6404/715/5724/3684/719/3119/716/3117/3127/3111/3108/3122/3115/3113/3109/629",19
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","21/743","116/9376",0.181034482758621,2.28449436116397,4.08370985330493,0.00027009574836706,0.00181123031257911,0.001220866231009,"3683/5291/4313/5829/3383/394/10398/10627/2185/7852/4478/90952/58494/50848/7412/3684/1003/7122/5600/5336/5175",21
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","24/743","142/9376",0.169014084507042,2.13280761283718,3.99029101859861,0.00030095626119481,0.00197936617939663,0.00133419880975027,"5291/7132/1906/2950/4313/3383/3162/5155/858/5599/6347/3552/3554/1843/10365/7412/2353/5970/7056/1003/1728/5600/3690/5175",24
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","18/743","94/9376",0.191489361702128,2.41642564645915,4.04889114704506,0.000357735766668427,0.00230840815472834,0.00155599072294708,"10758/5743/9618/4792/5599/6347/2354/7186/3727/6279/6280/2919/3576/2353/1051/5970/8061/5600",18
