"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","31/743","233/9376",0.133047210300429,1.67893760939007,3.07866647230504,0.00289996692111454,0.0134025498246104,0.00903403635453888,"1301/483/2023/50509/10398/79784/9124/1297/7060/64236/8572/1824/1284/7111/7057/1291/1292/70/7791/4000/3678/25802/7171/165904/255631/8557/633/752/1282/7169/3690",31
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","29/743","216/9376",0.134259259259259,1.69423259059867,3.02819132545277,0.00341390698391321,0.0155674158466442,0.0104932719926595,"5606/5291/7132/4775/3383/7494/4792/5332/5599/6347/7186/3949/3845/7097/5330/5331/7412/114548/2919/840/3592/3576/2353/929/5970/4973/5600/3665/177",29
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","16/743","97/9376",0.164948453608247,2.08150296235657,3.14095827901691,0.00375718380681043,0.0169073271306469,0.0113964439569458,"8913/3710/9252/5332/51655/2784/59345/2891/113/2791/5330/5331/2786/2353/5187/8912",16
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","13/743","72/9376",0.180555555555556,2.27845072528787,3.19458586605942,0.00390713132547091,0.0172085582878052,0.011599489889287,"4214/4792/5599/79132/7706/7186/3592/3576/5970/340061/5600/3665/9636",13
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","18/743","115/9376",0.156521739130435,1.97516531101878,3.08672114271979,0.00392475890774505,0.0172085582878052,0.011599489889287,"5291/1136/43/3710/5332/2784/59345/60482/9132/113/2791/1131/3845/5330/148327/5331/2786/2353",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/743","89/9376",0.168539325842697,2.12681658021686,3.13335559063813,0.00400711629739393,0.0173472629583383,0.0116929842655466,"7450/1297/3910/7060/22987/3911/1284/7057/1291/1292/3678/3913/1282/5649/3690",15
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","15/743","90/9376",0.166666666666667,2.10318528488111,3.08499560698965,0.00446671143894651,0.0190951914014963,0.012871181646438,"920/5606/5291/4775/4792/6772/29126/5605/3845/7097/4794/2353/10125/5970/5600",15
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","22/743","156/9376",0.141025641025641,1.77961831797633,2.88056744432512,0.00564045401353182,0.0238152502793566,0.0160527541125857,"5291/7132/4792/595/4940/4939/6772/1017/1026/5605/7186/3949/3845/91543/4599/7098/6773/5970/7122/9021/3665/10379",22
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","27/743","205/9376",0.131707317073171,1.66202934707678,2.81154474848255,0.00600784247047181,0.0250570990841629,0.0168898267141634,"5291/4791/5829/4792/3718/595/4055/896/1959/1017/1026/6776/7186/3845/148327/3017/1234/9261/6850/5970/3665/3107/3133/3134/3105/10379/3106",27
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","22/743","157/9376",0.140127388535032,1.76828316945418,2.8479241126932,0.00608580660857482,0.0250764561461758,0.0169028744106263,"4775/5743/5869/1846/5605/84868/7057/9023/1847/9261/840/1524/64805/5734/1051/575/5600/177/114786/389668/3690/5175",22
