"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","18/877","68/9376",0.264705882352941,2.82996847541753,4.86487177124703,3.53599711867581e-05,0.000428108222582535,0.000244595289412161,"4353/5291/6688/595/10000/5914/5292/597/5295/2209/3815/673/861/6774/3684/5293/5970/3265",18
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","36/877","193/9376",0.186528497409326,1.99417467697816,4.482812553686,4.06105323644209e-05,0.000474723119708231,0.000271228237932974,"2268/7454/5291/10235/10681/2782/5829/3055/3718/5294/2771/10000/113/7852/9475/1794/23533/5295/9547/53358/56477/2776/673/7410/6464/1234/107/5579/6774/5293/5970/111/3265/2788/23236/4067",36
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","39/877","216/9376",0.180555555555556,1.93031800329406,4.44336596789155,4.21185563227872e-05,0.000475939686447495,0.00027192331099624,"5606/5291/1535/816/7132/815/3383/4689/57534/29108/5532/10000/317/3949/9475/1558/6258/5295/3606/3708/23643/7410/19/1536/6774/2353/5293/54205/5970/3310/3265/3725/23236/801/3304/3303/5534/7124/4067",39
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","57/877","362/9376",0.157458563535912,1.6833882459666,4.25955797366993,5.34986954542719e-05,0.000585034121258006,0.000334253309459628,"3479/2324/1298/5291/10681/5522/2260/2782/26281/3655/285/1299/2997/3718/5294/595/3910/5159/10000/6696/5228/3164/1017/1284/3679/6194/10161/92579/23533/2064/1291/8515/9180/5295/5521/3815/90993/3570/3678/5563/6850/5979/3575/1942/5293/5970/3265/2788/1129/1435/1282/1287/5649/3908/1902/3690/3563",57
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","43/877","253/9376",0.1699604743083,1.81704607424701,4.23193989631881,7.6473835435887e-05,0.000790984423168467,0.000451920924896749,"960/7414/5291/7132/55062/23291/5289/5829/58484/27128/29108/10392/3554/9181/10000/718/826/8678/57180/9475/8737/51196/5295/3606/7316/3708/3101/3678/5293/54205/5970/3725/3059/23236/7100/837/100132074/7124/4671/643246/8353/8358/8352",43
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","30/877","154/9376",0.194805194805195,2.08266078277481,4.35152744899835,7.69984836712667e-05,0.000790984423168467,0.000451920924896749,"10368/816/815/490/5522/3776/5294/2771/10000/113/5502/6332/23533/2776/5521/491/55799/90993/4634/107/783/111/488/6330/785/23236/6546/7169/6262/801",30
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","12/877","37/9376",0.324324324324324,3.46734876267373,4.83039600466711,8.47823752239642e-05,0.000845330152968349,0.000482970806229394,"3383/8542/3910/5582/3606/2776/5579/23236/3040/3039/7124/3043",12
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","39/877","224/9376",0.174107142857143,1.86137807460498,4.19142150015217,9.60608661534467e-05,0.000930418103600527,0.00053158494352584,"3683/5291/6688/7132/1739/4791/3383/8829/4776/3718/5532/595/3554/10000/6513/7043/1958/113/1959/1017/5295/291/90993/7048/107/567/2353/5293/5970/111/3265/3725/3119/3117/3111/3122/5534/3113/7124",39
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","22/877","101/9376",0.217821782178218,2.32873093466701,4.31263093781261,0.00012760044367987,0.00118465990653351,0.000676843418109505,"5291/3383/595/10000/7043/1958/1284/5292/51196/5295/7048/1536/5579/6774/5293/5970/3265/3725/23236/1282/1287/7124",22
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","35/877","196/9376",0.178571428571429,1.90910571754357,4.13164124751668,0.000129299163839941,0.00118465990653351,0.000676843418109505,"3459/5291/7132/10681/5289/2782/3383/285/4776/3055/5294/5532/595/10000/718/8678/23533/5295/7316/3708/1234/9261/6850/6774/2353/5293/54205/5970/3265/2788/3725/801/5534/4067/643246",35
