"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","23/765","120/9376",0.191666666666667,2.34910675381264,4.43317451197114,8.833175847488e-05,0.0255571422306875,0.020996881935353,"4145/7161/2932/4214/1399/5296/2889/1432/6654/468/91860/3845/396/207/805/5603/6464/10603/5293/596/25970/4908/5336",23
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","22/765","117/9376",0.188034188034188,2.30458633595888,4.23226911800182,0.000167226591989943,0.0255571422306875,0.020996881935353,"29998/54556/11176/9274/7528/79913/94239/9275/8099/1108/8289/8932/6601/54107/125476/29117/283899/8334/57634/317772/8969/55766",22
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","24/765","138/9376",0.173913043478261,2.13151463483944,3.99117068285679,0.000298504531156501,0.0255571422306875,0.020996881935353,"5590/32/2932/2872/1399/7249/5296/51422/2889/6654/91860/3845/9470/207/805/80201/5261/6464/10603/3636/2194/5293/6199/23265",24
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","22/765","122/9376",0.180327868852459,2.21013607628844,4.00994981246617,0.000311672466227896,0.0255571422306875,0.020996881935353,"1387/2932/4214/1399/2033/5296/1432/6654/1386/468/3845/5330/6751/207/5331/5603/6750/6464/115/5293/6752/5336",22
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","39/765","275/9376",0.141818181818182,1.73815329768271,3.70303583811229,0.000444461642315074,0.0291566837358689,0.0239541432489808,"7419/2932/5693/81027/5296/5709/4717/1432/374291/1386/1958/10376/7277/7979/468/1329/7280/347733/4851/518/5603/714/7846/10963/7386/5293/3310/713/712/64837/1649/4729/79861/9377/56901/51079/341947/100506742/1460",39
