"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","32/897","205/9376",0.15609756097561,1.63162846344182,2.97399215473644,0.00368197898308699,0.0298839689557526,0.0215420557394808,"7431/960/5606/5601/5291/5610/6416/4734/5609/4791/958/5713/23586/4940/3065/965/1026/10912/3452/207/4794/8819/79685/6890/6774/5293/5970/3665/9636/5718/10379/3106",32
"Organismal Systems","Nervous system","hsa04730","Long-term depression","13/897","60/9376",0.216666666666667,2.26473429951691,3.19646331203473,0.00378788985471486,0.030044853620352,0.0216580305090156,"2773/2775/5594/5595/10672/2891/2781/2768/1392/5331/2895/5579/23236",13
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","21/897","119/9376",0.176470588235294,1.84457997245721,3.01570370597867,0.00414066174546822,0.0321131322037424,0.0231489627407463,"8837/330/5606/5601/5291/6416/7132/5609/10059/5594/5595/1385/3659/207/9586/4323/6374/2353/5293/5970/1435",21
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","33/897","216/9376",0.152777777777778,1.59692803171064,2.88675983863865,0.00452540078952383,0.0340102680964141,0.0245165256372884,"5606/5601/5291/6416/7132/5609/2932/5594/958/5595/5532/4780/5906/8795/5908/4772/3452/5530/207/5451/805/3329/818/5331/19/6774/2353/5293/5970/23236/3665/142678/30001",33
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","21/897","120/9376",0.175,1.82920847268673,2.97339237319724,0.00458017937115032,0.0340102680964141,0.0245165256372884,"5601/5291/5609/2932/1399/5594/5595/5906/5908/3656/6272/207/805/4794/818/814/6464/9261/5598/5293/5970",21
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","18/897","98/9376",0.183673469387755,1.91986895092485,2.97729148850011,0.00496457206789352,0.0360965760769758,0.0260204544786524,"493/490/3991/1385/747/1583/481/805/9586/818/5331/814/491/476/107/5579/5581/23236",18
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","17/897","91/9376",0.186813186813187,1.95268722359023,2.97022688770878,0.00522408957170794,0.0372083114393076,0.0268218562328292,"2554/2773/10681/2775/2564/10846/2561/5137/2785/2560/134/107/2562/5579/55970/2558/2563",17
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","21/897","122/9376",0.172131147540984,1.79922144854433,2.88996005705292,0.00557559908223474,0.0379938156271843,0.0273880920974123,"5606/5601/5291/2773/6416/2932/1399/5594/5595/1385/207/9586/5331/6464/107/5579/6774/2353/5293/23236/8660",21
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","15/897","77/9376",0.194805194805195,2.0362246449203,2.9695503811663,0.00566096966364923,0.0379938156271843,0.0273880920974123,"5601/5291/7042/5594/5595/1026/9459/10912/2064/207/7039/4088/6774/5293/5970",15
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","15/897","77/9376",0.194805194805195,2.0362246449203,2.9695503811663,0.00566096966364923,0.0379938156271843,0.0273880920974123,"5291/7042/1399/5594/5595/867/3065/1026/10912/207/6464/4088/5293/5970/1488",15
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","37/897","254/9376",0.145669291338583,1.52262572529604,2.74645286320723,0.00612841542599828,0.0403550374278,0.0290901943756423,"4843/3082/55283/493/2065/490/2260/7419/57192/3356/5257/5532/2185/4772/51196/2247/5530/2064/805/56034/818/5331/291/814/5137/491/2905/7039/107/5579/6786/6870/146/23236/6546/2903/5333",37
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","25/897","157/9376",0.159235668789809,1.6644299114529,2.73065376002184,0.00744215001738337,0.0480983399271629,0.0346720049542812,"5606/5291/7419/7042/5594/5595/5054/5532/1026/10912/4772/5530/207/805/291/8878/9261/4088/5293/5883/5970/545/677/1978/3106",25
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","16/897","87/9376",0.183908045977011,1.92232089083663,2.81103810424299,0.00772833174170806,0.049039777779202,0.0353506466271431,"10368/9254/7384/782/59284/7139/84701/481/55799/1346/476/10369/7388/785/6546/29796",16
