DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL
BD,Pacifico,2016,DS,ENSG00000159958,-0.5400000000,0.0007450000
BD,Pacifico,2016,DS,ENSG00000177076,0.4300000000,0.0007900000
BD,Pacifico,2016,DS,ENSG00000237742,-0.5400000000,0.0008120000
BD,Pacifico,2016,DS,ENSG00000231119,0.5600000000,0.0008350000
BD,Pacifico,2016,DS,ENSG00000274267,0.5400000000,0.0008340000
BD,Pacifico,2016,DS,ENSG00000165806,0.4900000000,0.0008740000
BD,Pacifico,2016,DS,ENSG00000260655,-0.5000000000,0.0009000000
BD,Pacifico,2016,DS,ENSG00000090339,0.5200000000,0.0009860000
BD,Pacifico,2016,DS,ENSG00000137193,0.5300000000,0.0009880000
BD,Pacifico,2016,DS,ENSG00000158169,0.4400000000,0.0009790000
BD,Pacifico,2016,DS,ENSG00000162490,-0.4900000000,0.0009400000
BD,Pacifico,2016,DS,ENSG00000188290,-0.5100000000,0.0009680000
BD,Pacifico,2016,DS,ENSG00000236423,0.5100000000,0.0009550000
BD,Pacifico,2016,DS,ENSG00000261716,0.4900000000,0.0009290000
BD,Pacifico,2016,DS,ENSG00000100336,0.5300000000,0.0010200000
BD,Pacifico,2016,DS,ENSG00000204634,0.3000000000,0.0010300000
BD,Pacifico,2016,DS,ENSG00000254974,0.5200000000,0.0010300000
BD,Pacifico,2016,DS,ENSG00000123643,0.3800000000,0.0010800000
BD,Pacifico,2016,DS,ENSG00000071051,0.4100000000,0.0011200000
BD,Pacifico,2016,DS,ENSG00000111801,0.3600000000,0.0011100000
BD,Pacifico,2016,DS,ENSG00000113916,0.4600000000,0.0011100000
BD,Pacifico,2016,DS,ENSG00000232022,0.5500000000,0.0011100000
BD,Pacifico,2016,DS,ENSG00000143127,0.5100000000,0.0011600000
BD,Pacifico,2016,DS,ENSG00000092054,0.4900000000,0.0012100000
BD,Pacifico,2016,DS,ENSG00000134061,0.5300000000,0.0012100000
BD,Pacifico,2016,DS,ENSG00000172183,0.5100000000,0.0011800000
BD,Pacifico,2016,DS,ENSG00000187950,0.4600000000,0.0012700000
BD,Pacifico,2016,DS,ENSG00000144452,0.5000000000,0.0013100000
BD,Pacifico,2016,DS,ENSG00000256806,0.4000000000,0.0013300000
BD,Pacifico,2016,DS,ENSG00000124205,-0.5300000000,0.0013800000
BD,Pacifico,2016,DS,ENSG00000127954,0.5300000000,0.0014000000
BD,Pacifico,2016,DS,ENSG00000163840,0.4000000000,0.0013700000
BD,Pacifico,2016,DS,ENSG00000165507,0.5200000000,0.0014000000
BD,Pacifico,2016,DS,ENSG00000136048,0.4500000000,0.0015000000
BD,Pacifico,2016,DS,ENSG00000152229,0.5000000000,0.0015000000
BD,Pacifico,2016,DS,ENSG00000156050,-0.2200000000,0.0014800000
BD,Pacifico,2016,DS,ENSG00000173530,0.5100000000,0.0014900000
BD,Pacifico,2016,DS,ENSG00000143036,0.5100000000,0.0015600000
BD,Pacifico,2016,DS,ENSG00000231365,0.2900000000,0.0015600000
BD,Pacifico,2016,DS,ENSG00000270020,0.5300000000,0.0015800000
BD,Pacifico,2016,DS,ENSG00000126246,0.5200000000,0.0016200000
BD,Pacifico,2016,DS,ENSG00000185015,0.4200000000,0.0016900000
BD,Pacifico,2016,DS,ENSG00000254487,0.5100000000,0.0017100000
