disorder_a,disorder_b,intersection,union,jaccard
AD,ADHD,1,2,0.5
AD,ASD,0,3,0.0
AD,BD,1,4,0.25
AD,MDD,1,8,0.125
AD,OCD,1,6,0.16666666666666666
AD,SZ,1,3,0.3333333333333333
ADHD,ASD,0,2,0.0
ADHD,BD,0,4,0.0
ADHD,MDD,0,8,0.0
ADHD,OCD,1,5,0.2
ADHD,SZ,0,3,0.0
ASD,BD,0,4,0.0
ASD,MDD,0,8,0.0
ASD,OCD,1,5,0.2
ASD,SZ,0,3,0.0
BD,MDD,1,9,0.1111111111111111
BD,OCD,0,8,0.0
BD,SZ,2,3,0.6666666666666666
MDD,OCD,1,11,0.09090909090909091
MDD,SZ,1,8,0.125
OCD,SZ,0,7,0.0
