DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,PBMC,ENSG00001745365,-0.1413365000,0.0030640000,2.5137112390,,
AD,Wingo,2015,PBMC,ENSG00001791039,-0.2726861000,0.0030980000,2.5089185866,,
AD,Wingo,2015,PBMC,ENSG00000177963,0.1327518800,0.0031250000,2.5051499783,,
AD,Wingo,2015,PBMC,ENSG00001678329,-0.1385865000,0.0032140000,2.4929541276,,
AD,Wingo,2015,PBMC,ENSG00000173559,0.2076503800,0.0032420000,2.4891869895,,
AD,Wingo,2015,PBMC,ENSG00001731648,-0.1257801000,0.0032510000,2.4879830305,,
AD,Wingo,2015,PBMC,ENSG00001704079,-0.4083628000,0.0032580000,2.4870489200,,
AD,Wingo,2015,PBMC,ENSG00000166535,0.1047537600,0.0032750000,2.4847886957,,
AD,Wingo,2015,PBMC,ENSG00000180432,-0.1416786000,0.0034210000,2.4658469258,,
AD,Wingo,2015,PBMC,ENSG00000176034,0.1998590200,0.0035050000,2.4553119777,,
AD,Wingo,2015,PBMC,ENSG00001751571,-0.2099493000,0.0035450000,2.4503837605,,
AD,Wingo,2015,PBMC,ENSG00001671928,-0.2512068000,0.0035480000,2.4500163888,,
AD,Wingo,2015,PBMC,ENSG00001684585,0.2683778200,0.0035810000,2.4459956790,,
AD,Wingo,2015,PBMC,ENSG00002379469,-0.1779079000,0.0035960000,2.4441803169,,
AD,Wingo,2015,PBMC,ENSG00002163819,0.1414906000,0.0036080000,2.4427334711,,
AD,Wingo,2015,PBMC,ENSG00001653871,0.2871597700,0.0036390000,2.4390179444,,
AD,Wingo,2015,PBMC,ENSG00001806951,0.1159285700,0.0038500000,2.4145392705,,
AD,Wingo,2015,PBMC,ENSG00000175886,0.3870150400,0.0038980000,2.4091581652,,
AD,Wingo,2015,PBMC,ENSG00001752793,0.1103703000,0.0041970000,2.3770610308,,
AD,Wingo,2015,PBMC,ENSG00001657932,-0.3881748000,0.0042450000,2.3721223054,,
AD,Wingo,2015,PBMC,ENSG00002042941,-0.1464173000,0.0043720000,2.3593198467,,
AD,Wingo,2015,PBMC,ENSG00001680314,0.1690488700,0.0044660000,2.3500812813,,
AD,Wingo,2015,PBMC,ENSG00001713985,-0.2098459000,0.0046850000,2.3292904048,,
AD,Wingo,2015,PBMC,ENSG00002351298,0.1300244400,0.0047260000,2.3255062827,,
AD,Wingo,2015,PBMC,ENSG00002312296,-0.1038252000,0.0047400000,2.3242216583,,
AD,Wingo,2015,PBMC,ENSG00001751264,0.1281297000,0.0047760000,2.3209356819,,
AD,Wingo,2015,PBMC,ENSG00001690036,-0.1063665000,0.0048030000,2.3184874134,,
AD,Wingo,2015,PBMC,ENSG00002374770,-0.1426447000,0.0048140000,2.3174939141,,
AD,Wingo,2015,PBMC,ENSG00001699476,0.1273552600,0.0048930000,2.3104247842,,
AD,Wingo,2015,PBMC,ENSG00001700231,-0.1179774000,0.0049350000,2.3067128430,,
AD,Wingo,2015,PBMC,ENSG00001814120,0.1102782000,0.0050520000,2.2965366581,,
AD,Wingo,2015,PBMC,ENSG00002287888,0.1189003800,0.0051010000,2.2923446765,,
AD,Wingo,2015,PBMC,ENSG00000176700,0.1268533800,0.0051140000,2.2912392763,,
AD,Wingo,2015,PBMC,ENSG00001785170,0.1014981200,0.0051670000,2.2867615385,,
AD,Wingo,2015,PBMC,ENSG00001758623,0.2486541400,0.0052450000,2.2802545075,,
AD,Wingo,2015,PBMC,ENSG00000169594,-0.1165395000,0.0054080000,2.2669633171,,
AD,Wingo,2015,PBMC,ENSG00001713006,-0.3746353000,0.0054400000,2.2644011003,,
AD,Wingo,2015,PBMC,ENSG00001659688,0.1366146600,0.0055970000,2.2520446931,,
AD,Wingo,2015,PBMC,ENSG00002186216,-0.1257274000,0.0056830000,2.2454223440,,
