disorder_a,disorder_b,intersection,union,jaccard
AD,ADHD,0,3,0.0
AD,ASD,0,3,0.0
AD,BD,0,4,0.0
AD,MDD,0,3,0.0
AD,OCD,0,4,0.0
AD,SZ,0,3,0.0
ADHD,ASD,0,4,0.0
ADHD,BD,0,5,0.0
ADHD,MDD,0,4,0.0
ADHD,OCD,1,4,0.25
ADHD,SZ,0,4,0.0
ASD,BD,1,4,0.25
ASD,MDD,0,4,0.0
ASD,OCD,0,5,0.0
ASD,SZ,0,4,0.0
BD,MDD,2,3,0.6666666666666666
BD,OCD,1,5,0.2
BD,SZ,2,3,0.6666666666666666
MDD,OCD,1,4,0.25
MDD,SZ,2,2,1.0
OCD,SZ,1,4,0.25
